candidate	count	vol	first_seen	in	context
စေတသိက် - ၃၁	5	vol_3	vol_3/markdown/[1]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (က)/[155] ပဋိသန္ဓေအကြောင်း သိကောင်းစရာ/[178]b ရူပါရုံလိုင်း - ကုသိုလ် ပထမဇော - ဝေဒ.md	()	**(စေတသိက် - ၃၁ - လုံး - ဒု -)** -
ရှိသော -၅၄	2	vol_2	vol_2/markdown/[347]ဣရိယာပထ အခန်းနှင့် သမ္ပဇဉ်အခန်း/[399] သိမ်းဆည်းရှုပွားပုံစနစ်.md	()	(စက္ခုဝတ္ထု အဝင်အပါ မျက်စိ၌ ရှိသော -၅၄- မျိုးသောရုပ်， ဟဒယဝ
စေတသိက် - ၈	2	vol_3	vol_3/markdown/[1]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (က)/[247]အကြောင်း အကျိုး သိမ်းဆည်းပုံ - ပစ္စယပ/[272] ရူပါရုံလိုင်း - သမ္ပဋိ စ္ဆိုင်း (= လ.md	()	**ရူပါရုံလိုင်း - သမ္ပဋိ စ္ဆိုင်း - သင်္ခါရက္ခန္ဓာ (စေတသိက် - ၈ - ကောက် - ဒု -)**
စေတသိက် - ၉	2	vol_3	vol_3/markdown/[1]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (က)/[247]အကြောင်း အကျိုး သိမ်းဆည်းပုံ - ပစ္စယပ/[274] ရူပါရုံလိုင်း - သန္တီရဏ (= စုံစမ်း) ခန္ဓာ (၅) ပါး1.md	()	**ရူပါရုံလိုင်း - သန္တီရဏ - သင်္ခါရက္ခန္ဓာ (စေတသိက် - ၉ - လုံးကောက် - ဒု -)
စေတသိက် - ၃၃	2	vol_3	vol_3/markdown/[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)/[459]ဝိညာဏပစ္စယာ နာမရူပံ/[472] ၂။ သဟဇာတဝိညာဏ်ကြောင့် သဟဇာတနာမ်ရုပ် ဖြစ်ပုံ ရှုကွက်ပုံစံအချို့1.md	()	(နာမ် = စေတသိက် - ၃၃။ ရုပ် = ကမ္မဇရုပ် -
စေတသိက် - ၁၀	2	vol_3	vol_3/markdown/[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)/[459]ဝိညာဏပစ္စယာ နာမရူပံ/[472] ၂။ သဟဇာတဝိညာဏ်ကြောင့် သဟဇာတနာမ်ရုပ် ဖြစ်ပုံ ရှုကွက်ပုံစံအချို့1.md	()	(နာမ် = စေတသိက် - ၁၀။ ရုပ် = စိတ္တဇရုပ်။
နာမ်တရား ၃၄၊ ၃၃	2	vol_3	vol_3/markdown/[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)/[592] ပဋ္ဌာန်းပစ္စည်း ဆက်သွယ်ပုံ/[602] ကာမတိဟိတ် ပဋိသန္ဓေ နာမက္ခန္ဓာ (၄) ပါ.md	()	ယင်းကာမတိဟိတ် ပဋိသန္ဓေ (၄)ခု နာမက္ခန္ဓာ (၄)ပါး (နာမ်တရား ၃၄၊ ၃၃၊) ပစ္စယုပ္ပန်တရားတိ
နာမ်တရား - ၁၁	2	vol_3	vol_3/markdown/[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)/[592] ပဋ္ဌာန်းပစ္စည်း ဆက်သွယ်ပုံ/[613] သမ္ပဋိစ္ဆိုင်း ခန္ဓာ (၅)ပါး.md	()	- ၁။ (က) သမ္ပဋိစ္ဆိုင်း (နာမ်တရား - ၁၁) အစိတ်အပေါင်း နာမက္
နှာ-၁၈၉-၁၉၀	1	vol_1	vol_1/markdown/[186]သမာဓိထူထောင်သင့်ပုံပိုင်း/[233]ထပ်မံစဉ်းစားရန် အချက်တစ်ရပ်.md	()	ထို မဟာဂေါပါလကသုတ္တန်အဋ္ဌကထာတွင် အထက် (နှာ-၁၈၉-၁၉၀) တွင် ဖော်ပြခဲ့သည့်
စာမျက်နှာ-၃၄၆-၃၄၇	1	vol_1	vol_1/markdown/[240]အာနာပါနဿတိသမာဓိပိုင်း/[280]အာနာပါနလုပ်ငန်းခွင်သို့ ချဉ်းကပ်ပုံ နှစ်မျိုး/[316b]ကကစူပမာ = လွှ ဥပမာ.md	[]	စာမျက်နှာ-၃၄၆-၃၄၇ - ကြည့်ပါ။] (၁) အဿ
တစ်ကိုယ်ရေ တစ်ကာယ ကင်းကင်းရှင်းရှင်း နေခြင်း， ၂	1	vol_1	vol_1/markdown/[240]အာနာပါနဿတိသမာဓိပိုင်း/[351]သပ္ပါယ အသပ္ပါယ (၇) ပါး/[352c]တိရ စ္ဆာနကထာသုတ္တန်.md	[]	[၁။ ကာယဝိဝေက = တစ်ကိုယ်ရေ တစ်ကာယ ကင်းကင်းရှင်းရှင်း နေခြင်း， ၂။ စိတ္တဝိဝေက = ဥပစာရ
ဥပစာရ-အပ္ပနာ နှစ်မျိုးပြားသော သမာဓိ တစ်ခုခုကို ထူထောင်လျက် စိတ်ကို နီဝရဏ အညစ်အကြေးတို့မှ ကင်းရှင်း စေလျက် နေခြင်း， ၃	1	vol_1	vol_1/markdown/[240]အာနာပါနဿတိသမာဓိပိုင်း/[351]သပ္ပါယ အသပ္ပါယ (၇) ပါး/[352c]တိရ စ္ဆာနကထာသုတ္တန်.md	[]	[၁။ ကာယဝိဝေက = တစ်ကိုယ်ရေ တစ်ကာယ ကင်းကင်းရှင်းရှင်း နေခြင်း， ၂။ စိတ္တဝိဝေက = ဥပစာရ-အပ္ပနာ နှစ်မျိုးပြားသော သမာဓိ တစ်ခုခုကို ထူထောင်လျက် စိတ်ကို နီဝရဏ အညစ်အကြေးတို့မှ ကင်းရှင်း စေလျက် နေခြင်း， ၃။ ဥပဓိဝိဝေက = ဥပဓိလေ
သန့်ရှင်းမှုကို ပြုခြင်းရှိသူ ဖြစ်ခြင်း， ၂	1	vol_1	vol_1/markdown/[240]အာနာပါနဿတိသမာဓိပိုင်း/[357]အပ္ပနာကောသလ္လ တရား (၁၀) ပါး/[410]သမာဓိသမ္ဗောဇ္ဈင် ဖြစ်ကြောင်းတရား (၁၁) ပါး.md	[]	၁။ ဝတ္ထုဝိသဒတာ = ဝတ္ထုဝိသဒကိရိယတာ = ကိုယ်တွင်းကိုယ်ပ နှစ်ဌာနသော ဝတ္ထုတို့၏ သန့်ရှင်းမှုကို ပြုခြင်းရှိသူ ဖြစ်ခြင်း， ၂။ ဣန္ဒြိယသမတ္တပဋိပါဒ
နှာ-၅၂၂-၅၃၀	1	vol_1	vol_1/markdown/[240]အာနာပါနဿတိသမာဓိပိုင်း/[427]ပဌမဇ္ဈာနကထာ/[435b]ဘဝင်စိတ်ဟူသည်.md	()	သို့အတွက် ဖလသမာပတ်နှင့် ဘဝင်တို့၏ ခြားနားချက်ကို သဘောပေါက်စေရန်အတွက် ဖလသမာပတ်အကြောင်း ကို နိဗ္ဗာနဂါမိနိပဋိပဒါ ပဉ္စမတွဲ ဝိပဿနာပိုင်း **ဖလသမာပတ္တိကထာ** (နှာ-၅၂၂-၅၃၀) တွင် ကြည့်ပါ။ တစ်
စာပိုဒ်-၆၄၇	1	vol_1	vol_1/markdown/[535]ရုပ်ကမ္မဋ္ဌာန်းပိုင်း/[545b]မဟာဘုတ် (= ဓာတ်ကြီး) လေးပါး.md	()	ဧတ္ထ စ “ကက္ခဠံ မုဒုကံ သဏှံ ဖရုသံ (သုခသမ္ဖဿံ ဒုက္ခသမ္ဖဿံ) ဂရုကံ လဟုက”န္တိ ပဒေဟိ ပထဝီဓာတု ဧဝ ဘာဇိတာ။ (အဘိ၊ဋ္ဌ၊၁၊၃၆၈၊ စာပိုဒ်-၆၄၇။) - ၁။ **ကက္ခဠ**န္
နှာ-၆၈၈	1	vol_1	vol_1/markdown/[535]ရုပ်ကမ္မဋ္ဌာန်းပိုင်း/[704]ဥတုဇရုပ်များကို ရှုပွားသိမ်းဆည်းပုံ.md	()	ရှေး ဥတုဇရုပ် ဖြစ်ပွားပုံကို ဉာဏ်ဖြင့် မြင်အောင် ရှုပွားသိမ်းဆည်းပုံအပိုင်း တွင် (နှာ-၆၈၈ - စသည်၌) ဖော်ပြခဲ့ပ
နှာ-၆၇၂	1	vol_1	vol_1/markdown/[535]ရုပ်ကမ္မဋ္ဌာန်းပိုင်း/[708b]အာဟာရဇရုပ်များကို ရှုပွားသိမ်းဆည်းပုံ.md	()	အထက်တွင် ဖော်ပြခဲ့သော အာဟာရဇရုပ်များ ဖြစ်ပေါ်လာပုံ အခြင်းအရာနှင့် ဆက်စပ်လျက်ရှိသော **အာဟာရဇရုပ်ဖြစ်ပုံအပိုင်း** (နှာ-၆၇၂)ကို ပြန်လည်၍ ဖတ်ရှု
