abbrev	pali	zh	count	volumed	vols_my	vols	suspect_vols
ဝိသုဒ္ဓိ	Visuddhimagga	清净道论	1718	分册	၁,၂	1,2	
အဘိ-ဋ္ဌ	Abhidhamma-aṭṭhakathā	论藏义注	1498	分册	၁,၂,၃	1,2,3	
မဟာဋီ	Visuddhimagga-mahāṭīkā	大复注 (清净道论大疏钞)	1078	分册	၁,၂	1,2	
မူလဋီ	Mūlaṭīkā	根本复注	487	分册	၁,၂,၃	1,2,3	
မ-ဋ္ဌ	Majjhima-aṭṭhakathā	中部义注	407	分册	၁,၂,၃,၄	1,2,3,4	
မ	Majjhima-nikāya	中部	392	分册	၁,၂,၃	1,2,3	
သံ	Saṃyutta-nikāya	相应部	386	分册	၁,၂,၃	1,2,3	
သံ-ဋ္ဌ	Saṃyutta-aṭṭhakathā	相应部义注	216	分册	၁,၂,၃	1,2,3	
အနုဋီ	Anuṭīkā	随复注	187	分册	၁,၂,၃	1,2,3	
အဘိ	Abhidhamma-piṭaka	论藏	186	分册	၁,၂,၃,၄,၆,၇,၈,၉	1,2,3,4,6,7,8,9	
အံ	Aṅguttara-nikāya	增支部	180	分册	၁,၂,၃	1,2,3	18
ပဋိသံ	Paṭisambhidāmagga	无碍解道	152	不分册			
မ-ဋီ	Majjhima-ṭīkā	中部复注	150	分册	၁,၂,၃	1,2,3	
ဒီ-ဋ္ဌ	Dīgha-aṭṭhakathā	长部义注	145	分册	၁,၂,၃	1,2,3	
သံ-ဋီ	Saṃyutta-ṭīkā	相应部复注	116	分册	၁,၂	1,2	
ဒီ	Dīgha-nikāya	长部	109	分册	၁,၂,၃	1,2,3	
ပဋ္ဌာန	Paṭṭhāna	发趣论	103	分册	၁	1	
ပဋိသံ-ဋ္ဌ	Paṭisambhidāmagga-aṭṭhakathā	无碍解道义注	83	分册	၁,၂	1,2	
အံ-ဋ္ဌ	Aṅguttara-aṭṭhakathā	增支部义注	72	分册	၁,၂,၃	1,2,3	
ဇာတက-ဋ္ဌ	Jātaka-aṭṭhakathā	本生义注	62	分册	၁,၂,၃,၄,၅	1,2,3,4,5	7
ခု	Khuddaka-nikāya	小部	57	分册	၁,၃,၅,၆,၇,၈,၉,၁၀,၁၁	1,3,5,6,7,8,9,10,11	
ဒီ-ဋီ	Dīgha-ṭīkā	长部复注	50	分册	၁,၂	1,2	3
ဝိ	Vinaya-piṭaka	律藏	31	分册	၁,၂,၃	1,2,3	
အံ-ဋီ	Aṅguttara-ṭīkā	增支部复注	21	分册	၁,၂,၃	1,2,3	
ဣတိဝုတ္တက-ဋ္ဌ	Itivuttaka-aṭṭhakathā	如是语义注	18	不分册			
ဝိ-ဋ္ဌ	Vinaya-aṭṭhakathā	律藏义注	16	分册	၁,၂,၃,၄	1,2,3,4	
ဓမ္မပဒ-ဋ္ဌ	Dhammapada-aṭṭhakathā	法句义注	13	分册	၁,၂	1,2	
ပြည်-ဝိသုဒ္ဓိမဂ်နိဿယ	Pyi Visuddhimagga-nissaya	卑谬版清净道论尼思耶	12	分册	၃,၄,၅	3,4,5	
ဓမ္မပဒ	Dhammapada	法句经	7	不分册			
မဃဒေဝ	Maghadeva-laṅkā	摩伽提婆linkā (缅文诗)	7	不分册			
သင်္ဂြိုဟ်ဘာသာဋီကာ	Saṅgaha-bhāsāṭīkā	摄义论缅文复注	7	不分册			
ဥဒါန-ဋ္ဌ	Udāna-aṭṭhakathā	自说经义注	7	不分册			
ပြည်	Pyi-nissaya	卑谬版尼思耶	7	分册	၁,၂,၄	1,2,4	
မိလိန္ဒပဉှ	Milindapañha	弥兰王问经	5	不分册			
အဘိဓမ္မတ္ထသင်္ဂဟ	Abhidhammatthasaṅgaha	摄阿毗达摩义论	5	不分册			
ဥဒါန	Udāna	自说经	5	不分册			
ပြည်-ဝိသုဒ္ဓိမဂ်-နိဿယ	Pyi Visuddhimagga-nissaya	卑谬版清净道论尼思耶	5	分册	၃,၅	3,5	
အဋ္ဌသာလိနီဘာသာဋီကာ	Aṭṭhasālinī-bhāsāṭīkā	殊胜义注缅文复注	5	分册	၂,၄	2,4	
သာရတ္ထ	Sāratthadīpanī-ṭīkā	显扬心义复注	5	分册	၁,၂	1,2	3
မဟာဗုဒ္ဓဝင်	Mahābuddhavaṃsa	大佛史	4	不分册			
ဝိဘင်္ဂ	Vibhaṅga	分别论	4	不分册			
သီ-ဋီ	Sīlakkhandhavagga-ṭīkā	戒蕴品复注	4	不分册			
သုတ္တနိပါတ-ဋ္ဌ	Suttanipāta-aṭṭhakathā	经集义注	4	分册	၁	1	
ဇာ-ဋ္ဌ	Jātaka-aṭṭhakathā	本生义注	4	分册	၁,၂	1,2	
ဝိသုဒ္ဓိမဂ်နိဿယ	Visuddhimagga-nissaya	清净道论尼思耶	4	分册	၂,၃	2,3	5
သမ္မောဟဝိနောဒနီဘာသာဋီကာ	Sammohavinodanī-bhāsāṭīkā	迷惑冰消缅文复注	4	分册	၁,၂	1,2	3
စူဠနိ-ဋ္ဌ	Cūḷaniddesa-aṭṭhakathā	小义释义注	3	不分册			
မဟာနိ-ဋ္ဌ	Mahāniddesa-aṭṭhakathā	大义释义注	3	不分册			
မိလိန္ဒပဥှာ	Milindapañha	弥兰王问经	3	不分册			
သုတ္တနိ-ဋ္ဌ	Suttanipāta-aṭṭhakathā	经集义注	3	分册	၁	1	
သုတ္တနိပါတ	Suttanipāta	经集	3	不分册			
ဥဒါန်းပါဠိတော်	Udāna-pāḷi	自说经巴利圣典	3	不分册			
ဝိသုဒ္ဓိ-ဋီ	Visuddhimagga-ṭīkā	清净道论复注	3	分册	၁,၂	1,2	
စူဠနိ	Cūḷaniddesa	小义释	2	不分册			
မဟာနိဒ္ဒေသ	Mahāniddesa	大义释	2	不分册			
ဝိ-သင်္ဂဟ	Vinayasaṅgaha	律摄	2	不分册			
ဝိမတိဋီ	Vimativinodanī-ṭīkā	除疑复注	2	分册	၁	1	
ဝိမာနဝတ္ထု	Vimānavatthu	天宫事	2	不分册			
ဝီထိပုံ-ဘုံစဉ်-ဆန်းပုံ-သိမ်ပုံ-ကျမ်း	Vīthi-bhūmi-kyan	心路·界地·历算·结界典	2	不分册			
ဝီထိပုံ-ဘုံစဉ်-ဆန်းပုံ-သိမ်ပုံကျမ်း	Vīthi-bhūmi-kyan	心路·界地·历算·结界典	2	不分册			
ဣတိဝုတ္တက	Itivuttaka	如是语	2	不分册			
အနုဋီကာ	Anuṭīkā	随复注	2	分册	၁,၂	1,2	
ကမ္မဋ္ဌာန်းကျမ်းကြီး	Kammaṭṭhāna-kyan-gyi	业处大典	1	不分册			
ကိုယ်ကျင့်အဘိဓမ္မာ	Koyakyint-Abhidhammā	实修阿毗达摩	1	不分册			
စူဠနိဒ္ဒေသ	Cūḷaniddesa	小义释	1	不分册			
ဇာတက	Jātaka	本生	1	分册	၂	2	
ဇာတကအဋ္ဌကထာ	Jātaka-aṭṭhakathā	本生义注	1	分册	၃	3	
ထေရဂါထာ	Theragāthā	长老偈	1	不分册			
ထေရီဂါထာ	Therīgāthā	长老尼偈	1	不分册			
ဓမ္မပဒအဋ္ဌကထာ	Dhammapada-aṭṭhakathā	法句义注	1	分册	၂	2	
နေတ္တိ-ဋ္ဌ	Nettippakaraṇa-aṭṭhakathā	导论义注	1	不分册			
ပဋိသမ္ဘိဒါမဂ်	Paṭisambhidāmagga	无碍解道	1	不分册			
ပရမတ္ထသရူပဘေဒနီ	Paramatthasarūpabhedanī	胜义自性分别	1	分册	၂	2	
ပေတဝတ္ထု	Petavatthu	饿鬼事	1	不分册			
ဗုဒ္ဓဝံသ	Buddhavaṃsa	佛种姓经	1	不分册			
မဟာဋီကာ	Visuddhimagga-mahāṭīkā	大复注 (清净道论大疏钞)	1	分册	၂	2	
မဟာဋီကာနိဿယ	Mahāṭīkā-nissaya	大复注尼思耶	1	分册	၄	4	
မဟာနိ	Mahāniddesa	大义释	1	不分册			
မိလိန္ဒ	Milindapañha	弥兰王问经	1	不分册			
မူလဋီကာ	Mūlaṭīkā	根本复注	1	分册	၂	2	
မူလပဏ္ဏာသ	Mūlapaṇṇāsa	根本五十经篇	1	不分册			
မူလပဏ္ဏာသ-ဋ္ဌ	Mūlapaṇṇāsa-aṭṭhakathā	根本五十经篇义注	1	分册	၁	1	
မူလပဏ္ဏာသပါဠိတော်	Mūlapaṇṇāsa-pāḷi	根本五十经篇巴利圣典	1	不分册			
မူလပဏ္ဏာသပါဠိတော်မြန်မာပြန်	Mūlapaṇṇāsa-pāḷi (Bur. tr.)	根本五十经篇巴利圣典缅译	1	不分册			
ဝိနည်းသာရတ္ထဒီပနီဋီကာ	Vinaya-sāratthadīpanī-ṭīkā	律显扬心义复注	1	不分册			
ဝိမတိ	Vimativinodanī-ṭīkā	除疑复注	1	分册	၁	1	
ဝိသုဒ္ဓိမဂ်မဟာဋီကာနိဿယ	Visuddhimagga-mahāṭīkā-nissaya	清净道论大复注尼思耶	1	分册	၃	3	
သာရတ္ထဒီပနီဋီကာ	Sāratthadīpanī-ṭīkā	显扬心义复注	1	分册	၃	3	
အပဒါနပါဠိ	Apadāna-pāḷi	譬喻经巴利圣典	1	分册	၂	2	
အပဒါန်	Apadāna	譬喻经	1	分册	၁	1	
