khemaka	安稳
diṭṭhupādāna	见取
sammutibrahma	认定梵
kasiṇaniddesa	《遍义释》
aparāmaṭṭha	不执取
ajjhattabahiddhā	内在外在
ottappa	愧
သို့	趋向
appamāṇa	无量
takkasilā	塔克西拉
sīmā	界限
padaparama	文句为最者
《Mahāṭīkā》	大疏钞
mahābhinīhāra	大胜愿
abl	来源格
padumuttara	胜莲
ācaya	流转
ekattakāya	一种身
goliyāni	果里亚尼
haraṇa	带走
bhavagga	有顶天
bhagavantu	世尊
kalābu	咖喇部
ṭhitikkhaṇa	住的刹那
nāradabuddha	那勒德佛
ehibhikkhu	善来比库
saññāvedayitanirodha	想受灭
vusitava	高尚生活者
visesana	特质
satipaṭṭhāna	念处
kammanibbatta	业的流转
pahāna	舍断
kolita	果利德
iriyāpathasampanna	具足威仪
ānāpānasati	入出息念
sabbaññu	一切知
upadhāraṇa	保存
yathākammūpagañāṇa	随业趣智
pātimokkhuddesa	巴蒂摩卡诵
paccupaṭṭha	现起
adhigamasaddhammappatirūpaka	貌似证悟正法
puññakiriyavatthu	福业事
manodvārika vipassanā javana vīthi	意门观速行心路
diṭṭhisabhāva	主义的本质
hirika	惭
aniṭṭha	不可喜
rūpasammudita	欣悦于色（悦色）
vedanāpaccaya	受缘
pañcaggadāyaka	五先施
nekkhammapaṭipadā	出离行道
bhattuddesaka	指派饭食者
sappi	熟酥
kuṇībhāva	跛手
ekatopaññatti	单独适用的规定
pavivekakathā	远离论
sakadāgāmiphala	一来果
cetaso ekodibhāva	心一境
mada	慢
upaḍḍhupaḍḍha	半数递减
micchāsaṅkappa	邪思维
paṇḍura	潘度拉
puggala	个体
sucarita	善行
indriyasaṃvara	根防护
phusanānaya	接触法
IMP	方式 ➡ 动词
upāsakaparisā	近事男众
niyativāda	宿命论
jāti	生
kammavācā	甘马文
lutta samāsa	变格省略复合词
vappatthera	瓦帕长老
padhānikatissa	精勤的帝思
gāvuta	牛呼
kammasamuṭṭhāna	业生
diṭṭhigahana	主见的错杂复杂
ogha	瀑流
etassa	这...
jāgaraṇa	清醒
utujarūpa	时节生色
sīlabbataparāmāsa	戒禁取
anubandhanā	随逐
anupādisesanibbānadhātu	无余涅槃界
diṭṭhisabhāva	主义的本质
upanissayo	亲依止
dhammaṭṭhitatā	法住性
samuṭṭhānavidhi	等起的方式
palālapīṭha	草木椅
aññathattā	住
uddhumātakasaññāsahagata	与膨胀相想俱行
Venerable Vakkali	瓦卡利尊者
yakkhī	母亚卡
Puññakiriya	福业
ujuṃ	正直地
yāma	亚马天
ānāpānassati jhāna	入出息念禅那
paṭipadāsutta	行道经
asamāhita puggala parivajjanatā	远离无定之人
vigatapaccaya	离去缘
kusāvahāra	换签作弊
pāṭaliputta	巴达厘子
yamunodaka	亚穆纳河水
saḷevāyatanā	六处
paccavekkhitabba	应反省
suttapiṭaka	经藏
kāḷasilā	黑岩
gotamaka cetiya	果德玛洁地
gotama	果德玛
pavivittacittatā	心的独立
vipassanā bhūmi	观地
anotattadaha	无热恼湖
catuttha jhana samapatti	第四禅定
jhānānulomapaṭiloma	顺逆禅
vuṭṭhāna	出起
cittagutta	心护
sabhāga iriyāpatha	同分姿势
saṅkhatadhamma	有为法
sayambhū ñāṇa	自证智
