-in	具有……者
-ka	具有……者
Attā	我
Bhikkhus	诸比库
Buddha	佛陀
Cetanā sutta	思经
Mahā	大
Mama	我的
Nissaya	依词释
Patisam	无碍解道
Pañcupādānakkhandhā	五执取蕴
Rāhulā	拉胡喇
Sam	相应部
Samyutta	相应部
Visuddhi Magga	《清净之道》
Visuddhimagga	《清净道论》
abhiññā	神通
adosa	无嗔
aggasāvaka	上首弟子
ahirika	无惭
akusala	不善
akusala citta	不善心
akusala dhamma	不善法
alobha	无贪
amoha	无痴
anatta	无我
anicca	无常
anubodha	随觉
anupassanā	随观
anuppāda	无生
anuppādanirodha	不生灭尽
anusaya	潜伏
anāgata	未来
aparāpariyavedanīya	顺后受
apāya	苦界
arahatta	阿拉汉
arahatta magga	阿拉汉道
arahattamagga	阿拉汉道
ariya	圣
ariya magga	圣道
ariyamagga	圣道
atta	我
attabhāva	自体
attavādupāda	我语取
attha	目的状语
atīte	过去
avasesa	剩余的
avijjā	无明
bahiddhā	外
base	词典源型
bhaggā	跋嘎
bhava	有
bhavo	有
bhikkhave	诸比库
bhūtā	大种
bodhi	菩提
bodhisatta	菩萨
cakkhu	眼
cakkhu dvāra	眼门
cakkhu dvāra vīthi	眼门心路
cakkhusamphassa	眼触
cakkhāyatana	眼处
catukkanipāta	四集
cetana	思考
cetanā	思
citta	心
cuti	入灭
dassana	洞见
desanā	开示
dhamma	法
dhammacakka	法之轮
dhātu	界
dibbacakkhu	天眼
domanassa	忧
dukkha	苦
dukkhasaccā	苦谛
dutiya	第二个
dvāra	门
etassa	这...
ghānasamphassa	鼻触
ghānāyatana	鼻处
gutta	已保护
hadaya vatthu	心所依处色
hoti	发生
hīna	劣
itivuttaka	如是说
janaka	生
jarā	老
jhāna	禅那
jāti	生
kalāpa	色聚
kamma	业
kammabhava	业有
kammapaccaya	业缘
kathā	论
khandhā	蕴
kho	的确
kicca	作用
kiccasiddhi	作用成就
kilesa	烦恼
kilesā	染
kiñci	任何
kusala	善
kusalavipāka	善果报
kāla	咖拉
kāmupādāna	欲取
kāmāvacara	欲界
kāya	身
kāyasamphassa	身触
kāye	于身
kāyāyatana	身处
lobha	贪
lokasamudaya	世间集
loke	世间
lokuttara	出世间
magga	道
mahākusala	大善
mahāsāvaka	大弟子
manodvāra	意门
manosamphassa	意触
manāyatana	意处
meditator	禅修者
moha	痴
nandā	难达
nibbatti	转生
nibbidā	倦离
nibbāna	涅槃
nippadesa	无余
nirodha	灭
nāma	名
nāma khandhā	名蕴
nāmarūpa	名色
pabbaja	灯芯草
paccakkha	亲见
paccaya	缘
paccaya pariggaha	缘摄受
paccayapariggaha	缘摄受
paccayo	缘
paccekabuddha	独觉佛
paccuppanna	现在
pahāna	舍断
pahānapariññā	断遍知
pana	此外
paramattha	神我
paramatthasabhāva	究竟自性
pariccheda	节
parideva	悲
pariggaha	摄受
pariññā	遍知
paññā	慧
phala	果
phassa	触
pubbenivāsa	宿住
putthujana	凡夫
pāli	巴利语
rasa	作用
rāga	贪 / 爱染
rāhula	拉胡勒
rūpa	色
sabhāva	本质
sacca	谛
saccā	谛
saha	同时
sammasana	思惟
sammohavinodanī	迷惑冰消
sammā	正
sammāsambodhi	正自觉
sammāsambuddha	正自觉者
sampatti	成就
sampayutta	相应
samuccheda	正断
samudaya	集
samudaya sacca	苦因圣谛
samudayasaccā	集谛
samuppāda	集起
santika	近
santāna	相续流
sati	念
saññā	想
soka	愁
somanassa	悦
somanassa vedanā	悦受
sotasamphassa	耳触
sotāyatana	耳处
sugati	善趣
sukha	乐
sukhuma	细
sāvatthi	沙瓦提
tattheva	仅仅在那
tissa	帝思
titthāyatana	外道所依处
udayabbaya	生灭
udayabbayānupassanā	生灭随观
upadhisampatti	依报成就
upapattibhava	生有
upatthambhaka	支持
upāda	所造
upādiyati	执取
upādāna	取
upādānakkhandha	取蕴
upādānakkhandhā	取蕴
upāyāsa	恼
vatta	行仪
vatthu	依处
vaya	灭
veda	吠陀
vedanā	受
vipassana	观禅
vipassanā	观
vipāka	果报
visuddhi	清净
vīthi	心路
yogāvacara	修行者
ñāta	所知
ñātapariññā	智遍知
Ānanda	阿难德
ādīnavānupassanā	过患频观
ākāra	行相
āsava	漏
āyatana	入处
