Attā	我
Bhikkhus	诸比库
Buddha	佛陀
Dhammānupassanā	法随观
Mahā	大
Mahāsatipatthāna Sutta	《大念处经》
Mahātīkā	大义疏
Mama	我的
Nissaya	依词释
Paramatta	帕拉马达
Patisam	无碍解道
Sam	相应部
Tathāgata	如来
Vesālī	毘舍离
abhinivesa	黏着
amoha	无痴
anatta	无我
anicca	无常
aniccānupassanā	随观无常
anuloma	随顺
anupassanā	随观
anuppāda	无生
anuppādanirodha	不生灭尽
anusāsanī	告诫
anāgāmi	不来者
anāgāmi magga	不来道
aparājita	无能胜
arahatta	阿拉汉
arahatta magga	阿拉汉道
arahattamagga	阿拉汉道
arahattaphala	阿拉汉果
ariya	圣
ariya magga	圣道
ariyamagga	圣道
ariyaphala	圣果
ariyasāvaka	圣弟子
arūpa	非色
arūpasattaka	七非色
asammoha	无痴
assa	他的
attha	目的状语
atīte	过去
avijjā	无明
aññamañña	相互
bahiddha	外在
bahiddhā	外
base	词典源型
bhagavā	世尊
bhante	尊者
bhava	有
bhavo	有
bhaya	畏惧
bhikkhave	诸比库
bhikkhu	比库
bhuddha	佛陀
bhāvana	修习
bhāvanā	修习
bhāveti	修習
bhūmi	地
bodhipakkhiya	菩提分
bodhisatta	菩萨
buddho	佛陀
cakkhu	眼
cetasika	心所
citta	心
dassana	洞见
desanā	开示
dhamma	法
dhammapāla	法护
dhammā	诸法
dhātu	界
dibbacakkhu	天眼
dosa	瞋
dukkha	苦
dukkhasamudaya	苦集
dāna	布施
dūra	远
eti	来
evameva	这样
gutta	已保护
gāthā	偈颂
hetu	因
hoti	发生
hīna	劣
indriya	根
iti	如此
janaka	生
jarā	老
jātaka	本生
jāti	生
jātidukkha	生苦
kalāpasammasana	聚思惟
kamma	业
kammabhava	业有
kathañca	如何
kevalassa	整个
khandha	蕴
khandhaparinibbāna	蕴般涅槃
khandhā	蕴
kho	的确
kilesa	烦恼
kilesā	染
kiñci	任何
kusala	善
kāma	欲
kāmarāga	染污的感官之乐
lobha	贪
loka	世间
lokadhātu	世界
lokasamudaya	世间集
lokuttara	出世间
lokuttaramagga	出世间道
magga	道
maggaphala	道果
meditator	禅修者
mettā	慈爱
moha	痴
muni	牟尼
māna	慢
māra	魔罗
nanda	难德
nandā	难达
nandī	喜
nibbidā	倦离
nibbāna	涅槃
nidāna	来源
nikanti	微细的欲求
nikāya	部
nirodha	灭
nāma	名
nārada	那拉达
ovāda	教诫
paccakkha	亲见
paccaya	缘
paccayapariggaha	缘摄受
paccayākāra	缘行相
paccuppanna	现在
pahāna	舍断
pahānapariññā	断遍知
pajahati	舍弃
pajānāti	了知
pana	此外
paramattha	神我
paramatthasabhāva	究竟自性
parinibbāna	般涅槃
pariyatti	教理
pariññā	遍知
pariññā paññā	遍知慧
paññatta	制定
paññā	慧
phala	果
phassa	触
pāli	巴利语
pārami	巴拉密
pāramī	巴拉密
rasa	作用
rāhula	拉胡勒
rūpa	色
sabbaññu	一切知
sacca	谛
saccā	谛
saddhā	信
saha	同时
sahajāta	俱生
samatha	止
sammasana	思惟
sammā	正
sammāsambuddha	正自觉者
sampatti	成就
sampayutta	相应
sampayuttapaccaya	相应缘
samuccheda	正断
samudaya	集
samudayadhammānupassī	随观生起之法
samudayavayadhammānupassī	随观生灭之法
samuppāda	集起
samādhi	定
santika	近
santāna	相续流
sati	念
satta	有情
sayambhū	自通
saññā	想
sikkha	学
sikkhā	学
somanassa	悦
sukha	乐
sukhuma	细
suppa	簸箕
sāmañña	一般性
sāsanā	教法
sāvaka	弟子
sīla	戒
tebhūmaka	三地
udayabbaya	生灭
udayabbayānupassanā	生灭随观
upapattibhava	生有
upatthambhaka	支持
upāda	所造
upādāna	取
upādānakkhandha	取蕴
upādānakkhandhā	取蕴
vassa	雨安居
vatta	行仪
vaya	灭
vayadhammānupassī	随观坏灭之法
vedanā	受
vedanāya	受的
vicikicchā	疑
vijjā	[三]明
vimutti	解脱
vipassana	观禅
vipassanā	观
vipassanā bhāvanā	观修习
vipassanāpaññā	观慧
visuddhi	清净
vīriya	精进
ñāta	所知
ñātapariññā	智遍知
ādīnava	过患
āhāra	食
ānāpāna	入出息
āsavakkhaya	漏尽
āvuso	朋友
āyatana	入处
