-ant	ant结尾的变格
Abhidhamma	阿毗达摩
Aparijānana Sutta	不遍知经
Atthasālinī	胜义说
Bhikkhus	诸比库
Buddha	佛陀
Kassapa	咖沙巴
Mahā	大
Mahāsatipatthāna Sutta	《大念处经》
Mahātīkā	大义疏
Paramatta	帕拉马达
Patisam	无碍解道
Sam	相应部
Sutta	经
Tathāgata	如来
Thera	长老
Vinaya	律
Visuddhimagga	《清净道论》
addhāpaccuppanna	一世现在
adhamma	非法
ajjhāsaya	意乐
akusala	不善
anatta	无我
anattānupassanā	无我随观
anicca	无常
aniccānupassanā	随观无常
anubodha	随觉
anupassanā	随观
anuppāda	无生
anuppādanirodha	不生灭尽
anupādisesanibbāna	没有燃料剩余的寂灭
anupādisesanibbānadhātu	无余涅槃界
anāgata	未来
arahattamagga	阿拉汉道
arahattaphala	阿拉汉果
arahā	阿罗汉
ariya	圣
ariyamagga	圣道
ariyasāvaka	圣弟子
atta	我
attha	目的状语
atthi	有
atīta	过去
atīte	过去
avijjā	无明
bahiddha	外在
bahiddhā	外
bala	力
bhagavā	世尊
bhante	尊者
bhava	有
bhikkhave	诸比库
bhikkhu	比库
bhāvanā	修习
bhāvanāya	依修习
bodhipakkhiyadhamma	菩提分法
buddho	佛陀
cakkhu	眼
cakkhudasaka	眼十法
cakkhupasāda	眼净色
cetasika	心所
chanda	欲
chandarāga	欲贪
citta	心
cittavisuddhi	心清净
cittuppāda	心生起
cuti	入灭
desanā	开示
deva	神
dhamma	法
dhammadesanā	佛法开示
dhammā	诸法
dhātu	界
dukkha	苦
dukkhānupassanā	苦随观
dūra	远
ekaggatā	一境性
gāthā	偈颂
hetu	因
hoti	发生
hotu	愿
hīna	劣
iddhipāda	成就的基础
idha	于此
indriya	根
iti	如此
itivuttaka	如是说
janaka	生
jhāna	禅那
jātidukkha	生苦
kalāpa	色聚
kamma	业
kammassakatā	业自性
kapila	咖毕拉
kathañca	如何
khandha	蕴
khandhā	蕴
khaya	尽
kho	的确
kicca	作用
kilesa	烦恼
kilesā	染
kusala	善
kāya	身
kāye	于身
kāyānupassanā	身随观
loka	世间
loke	世间
lokiya	世间的
lokuttara	出世间
magga	道
mahākaccāna	马哈咖吒那
mahākusala	大善
mahāpaduma	大红莲
mahāsiva	大西瓦
mahāthera	大长老
mana	意
meditator	禅修者
māna	慢
mātikā	大纲
nandi	喜
nandī	喜
nibbidānupassanā	厌离随观
nibbāna	涅槃
niddesa	广释
nikanti	微细的欲求
nikāya	部
nirodha	灭
nāma	名
nāmaghana	名密集
nāmarūpapariccheda	名色限定
nīvarana	盖
ojā	食素
okāsa	地点状语
paccakkha	亲见
paccaya	缘
paccayasatti	缘力
paccuppanna	现在
pana	此外
paramattha	神我
paramatthadhātu	究竟界
parinibbāna	般涅槃
pariyāya	方便
pariññā	遍知
pariññā paññā	遍知慧
paññatti	概念
paññā	慧
paññācakkhu	慧眼
phalasamāpatti	果定
phassa	触
pāli	巴利语
pāramī	巴拉密
rasa	作用
rāga	贪 / 爱染
rūpa	色
rūpā	色
sabhāga	同分
sabhāva	本质
sahajāta	俱生
sakkāya	有身（见）
samaya	适时
sammappadhāna	正勤
sammasana	思惟
sammā	正
sammāsambuddha	正自觉者
sammāsamādhi	正定
sammāsati	正念
samuppāda	集起
samādhi	定
samāpatti	等至
santati	相续
santatighana	相续密集
santatipaccuppanna	相续现在
santika	近
santāna	相续流
sati	念
satthā	世尊
saññā	想
sukhuma	细
suttanta	经
suttantabhājanīya	经分别
suttantapariyāya	经教法
sāmañña	一般性
sāsana	教育
sāsanadhamma	教法
sāsanā	教法
sāvaka	弟子
sīla	戒
sītautu	令气候
tattheva	仅仅在那
tejo	火
udayabbaya	生灭
udāna	《感慨》
upacārasamādhi	近行定
upaka	伍巴格
upanissaya	强依止
upatthambhaka	支持
upāda	所造
upādāna	取
upādānakkhandha	取蕴
upādānakkhandhā	取蕴
utu	季节
vatta	行仪
vedanā	受
vedanāya	受的
vesāli	韦萨离城
vipassana	观禅
vipassanā	观
vipassanā bhāvanā	观修习
virāga	离染
visuddhi	清净
vitakka	寻
vāda	辩论
vīthi citta	路心
ācariya	老师
ādikammika	初犯
āhāra	食
āna	入息
ānāpānassatisamādhi	入出息念定
āsava	漏
āyatana	入处
