-vin	具有……者
Abhidhamma	阿毗达摩
Bhikkhus	诸比库
Buddha	佛陀
Buddhānussati	佛随念
Khuddikā pīti	小喜
Lakkhaṇa	特相
Mahā	大
Mahāparinibbāna sutta	大般涅槃经
Mahātīkā	大义疏
Mahāṭī	大义疏
Okkantikā pīti	继起喜
Pathavī	巴踏威
Sam	相应部
Samatha yānika	止行者
Sammoha-vinodanī	《迷惑冰消》
Samādhi Sutta	《定经》
Suddha  vipassanā yānika	纯观行者
Sutta	经
Visuddhi Magga	《清净之道》
anatta	无我
anattā nupassanā ñāṇa	无我随观智
anicca	无常
aniccā nupassana ñāṇa	无常随观智
aniccānupassanā	随观无常
anupassanā	随观
appanā	安止
appanā samādhi	安止定
arahatta	阿拉汉
arahatta magga	阿拉汉道
arahatta magga ñāṇa	阿罗汉道智
ariya	圣
ariya magga	圣道
ariya magga ñāṇa	圣道智
arūpa	非色
arūpavacara	无色界
avijjā	无明
avijjāsava	无明漏
aṭṭha samāpatti	八定
aṭṭhakathā	义注
base	词典源型
bhavaṅga	有分
bhavāsava	有漏
bhikkhu	比库
cakkhu	眼
cakkhu dvāra	眼门
cakkhu dvāra vīthi	眼门心路
catudhātuvavatthāna	四界差别
cetanā	思
cetasika	心所
citta	心
citta niyama	心的定律
citta samuṭṭhāna	由心而生
citta visuddhi	心清净
cittakkhaṇa	心识刹那
deva	神
dhamma	法
dhātu	界
diṭṭhi	见
diṭṭhivisuddhi	见清净
dukkha	苦
dukkhā nupassanā ñāṇa	苦随观智
dvāra	门
ekaggatā	一境性
gandha	气味
jhāna	禅那
jihvā dvāra	舌门
jihvā dvāra vīthi	舌门心路
jīva	命
jīvita	命
kalāpa	色聚
kamma	业
kamma dvāra	业门
kamma samuṭṭhāna	由业而生
kammaṭṭhāna	业处
karuṇā	悲悯
khaṇikā pīti	刹那喜
kilesa	烦恼
koṭṭhāsa	身分
kāmāsava	欲漏
kāmāvacara	欲界
kāya	身
kāya dvāra	身门
kāya dvāra vīthi	身门心路
magga	道
magga ñāṇa	道智
mahābhūta	大种
mahāparinibbāna	大般涅槃
mahāṭīkā	大复注
manasīkāra	作意
mano dvāra	意门
meditator	禅修者
muditā	喜
mutta	解脱
mūla	根本
naya	法
nibbāna	涅槃
nimitta	相
nipaka	成熟
nāma	名
nāma  kammaṭṭhāna	名业处
nāma kalāpa	名聚
nāma kammaṭṭhāna	名业处
nānantarika naya	不可分离法
ojā	食素
pahāna	舍断
pana	此外
paramaṭṭha	究竟
paramaṭṭha rūpa	究竟色
pariggaha	摄受
parikamma	遍作
parinibbāna	般涅槃
pariññā	遍知
paññā	慧
paṭibhāga	相似
paṭibhāga nimitta	似相
phala	果
phala ñāṇa	果智
phassa	触
pramā	极微小粒子
pāli	巴利语
pīti	喜
rasa	作用
rupāvacara	色界
rūpa	色
rūpa kalāpa	色聚
rūpa kammaṭṭhāna	色业处
rūpa pariggaha	色摄受
sadisupacāra	等近行
sakka	帝释
samatha	止
sammappadhāna	正勤
samuccheda	正断
samuccheda pahāna	正断断
samuṭṭhāna	生起之因
samādhi	定
samāpatti	等至
sati	念
saññā	想
saṅkhāra	行
saṅkhāra dhamma	行法
sota dvāra	耳门
suddha vipassanā	纯观
suddha vipassanā yānika	纯观乘者
suddhavipassanā	干观
sukha	乐
sāsanā	教法
sīla	戒
sīle patiṭṭhāya naro sapañño	住戒有慧人
taṇhā	渴爱
tejo	火
tihetuka	三因者
ubbegā pīti	踊跃喜
ukkaṭṭhaniddesa	殊胜义释
upacāra	近行
upacāra samādhi	近行定
upādāna	取
upādānakkhandā	五取蕴
upādārūpa	所造色
utu	季节
utu samuṭṭhāna	由时节而生
vavatthāna	差别
vaṇṇa	色
vedanā	受
vicāra	伺
vimokkha	解脱
vipassanā	观
vipassanāyānika	观乘者
viriya	精进
visuddhi	清净
vitakka	寻
viññāṇa	识
vāyo	风
vīthi	心路
vīthi mutta citta	离路心
ñāta	所知
ñāṇa	智
āhāra	食
āhāra samuṭṭhāna	由食而生
ānāpānassati	入出息念
āpo	水
āsava	漏
āyatana	入处
āyatana dvāra	处门
Ṭīkā	复注
