-ka	具有……者
Abhidhamma	阿毗达摩
Anguttara	增支部
Anupada Sutta	《不断经》
Aparijānana Sutta	不遍知经
Assaji	阿沙基
Assaji Sutta	阿沙基经
Bhikkhus	诸比库
Buddha	佛陀
Catukka	四法
Chachakka Sutta	《六六经》
Cittānupassanā	心随观
Dhammānupassanā	法随观
Gotama buddha	果达玛佛
Kassapa	咖沙巴
Lakkhaṇa	特相
Mahā	大
Majjhimanikāya	中部
Malla	马勒
Mūlapariyāya  Sutta	根本法门经
Mūlaṭīkā	根本复注
Rohitassa Sutta	赤马经
Sam	相应部
Samatha yānika	止行者
Samyutta	相应部
Samādhi Sutta	《定经》
Smyutta	相应部
Susima	苏西玛
Susima Sutta	《苏西玛经》
Sutta	经
Tathāgata	如来
Vedanānupassanā	受随观
Vinaya	律
Visuddhi Magga	《清净之道》
Yadanicca Sutta	《凡无常经》
abhayagirivāsī	无畏山寺派住处
abhinīhāra	至上愿
abhiññāṇa	特征
addhāna	行程
addhāna pariggaha	世摄受
aggasāvaka	上首弟子
ajjhattabahiddhā	内在外在
anatta	无我
anattānupassanā	无我随观
anicca	无常
anicca lakkhaṇa	无常相
aniccānupassanā	随观无常
aniccānupassī	无常随观者
anindariyabadda	无生命
anissito	无所依
anubhavana rasa	领纳作用
anupassanā	随观
anāgata	未来
anārammaṇa	无所缘
appanā	安止
arahant	阿拉汉
araññagato	前往林野
ariya	圣
arūpa	非色
arūpa pariggaha	非色摄受
arūpasattaka	七非色
arūpāvacara	无色界
asaṅkhata	无为
asaṅkhata dhamma	无为法
asecanaka	无需添补
asekkha	无学
assa	他的
assasissāmi	我将入息
assasāmīti	在入息
assāsapassāsakāya	呼吸身
atta	我
attakilamathānuyoga	自我疲惫行
atthi	有
atīta	过去
añchanto	在拉
añchāmīti	在拉
aṅga	支
bahiddha	外在
bahiddhā	外
bhamakārantevāsī	拉坯工的学徒
bhamakāro	拉坯工
bhavaṅga	有分
bhaṅga	天然混紡
bhikkhave	诸比库
bhikkhu	比库
bhūmi	地
bhūta	众生
bodhisatta	菩萨
cakkhu	眼
cakkhu dvāra	眼门
cakkhu pasāda	眼净色
cakkhupasāda	眼净色
cakkhuviññāṇa	眼识
caraṇa	行
citta	心
citta niyama	心的定律
citta visuddhi	心清净
cittaja-oja	心生食素
cittajarūpa	心生色
cittavisuddhi	心清净
cittekaggatā	心一境性
cittta visuddhi	心清净
dakkho	能干的
dassana	洞见
desa	区域
desanā	开示
dhamma	法
domanassa	忧
dukkha	苦
dukkha lakkhaṇa	苦相
dukkha sacca	苦圣谛
dukkhānupassanā	苦随观
dvāra	门
ekadesa	一部分
evameva	这样
evampi	如此也
ghana	密集
gotama	果德玛
hoti	发生
hīna	劣
idha	于此
iti	如此
javana	速行
javana vīthi	速行心路
jhāna	禅那
jhānassa	禅那的
jīva	命
jīva atta	命我
kalāpa	色聚
kamma	业
kammaja-ojā	业生食素
kammassakatā	业自性
kasiṇa	遍
kassapakārāma	咖沙巴园
khaya	尽
khaya vaya	坏灭
kho	的确
kicca	作用
kilesa	烦恼
kiñci	任何
kusala	善
kusinārā	古西那拉
kāma	欲
kāmasukhanlikānuyoga	欲乐
kāmāvacara	欲界
kāya	身
kāye	于身
kāyika dukkha	身苦
kāyika sukha	身乐
kāyova	唯身
kāyānupassanā	身随观
kāyānupassī	身随观
loka	世间
loke	世间
magga	道
magga sacca	道谛
magga ñāṇa	道智
mahābhūta	大种
mahāpurisa	大士
mahāpurisānamyeva	大士
mahāsāvaka	大弟子
mandārava	曼陀罗花
meditator	禅修者
māna	慢
mūla	根本
nanda	难德
naya	法
netti	导论
nibbāna	涅槃
nicca	常
niddesa	广释
nikāya	部
nimitta	相
nisīdati	坐下
nāma	名
nāma kalāpa	名聚
nāmakāya	名身
nāmarūpa	名色
nīvaraṇa	盖
ojā	食素
paccaya	缘
paccaya pariggaha	缘摄受
paccaya satti	缘力
paccupanna	现在
padhāna	中心词
padhāna naya	象征法
pahāna	舍断
pahānapariññā	断遍知
pajānāti	了知
pakatisāvaka	普通弟子
pana	此外
parama atta	最高我
pariccheda	节
pariggaha	摄受
parikamma	遍作
paripācana rasa	成熟作用
pariññā	遍知
passasissāmi	我将出息
passasāmīti	在出息
pasāda	纯净
patibhāga nimitta	似相
paññā	慧
phassa	触
phassapañcamaka	触为第五的
pubbabhāga	前分
putthujana	凡夫
pāli	巴利语
pīti	喜
rasa	作用
rukkhamūlagato	前往树下
ruppana lakkhaṇa	变异相
rūpa	色
rūpa kalāpa	色聚
rūpa pariggaha	色摄受
rūpakāya	色身
rūpā	色
rūpāvacara	色界
sabbaññutañāṇa	一切知智
sabhāga	同分
sacca	谛
sadisupacāra	等近行
sadisūpacāra	等同近行
sakkāya	有身（见）
samatha	止
samaṇa	沙门
sammasana	思惟
sammasana ñāṇa	思惟智
sammasanupaga dhamma	可被观察法
sammā	正
sammāsambuddha	正自觉者
sammāsamādhi	正定
sampajāna	正知
samudaya	集
samudaya sacca	苦因圣谛
samudayadhammānupassī	随观生起之法
samudayavayadhammānupassī	随观生灭之法
samādhi	定
samāpatti	等至
samūhaghana	组合密集
santa	寂静
santabhāvena	平静
santati	相续
santatighana	相续密集
santika	近
santāna	相续流
santīraṇa	推度
sati	念
satova	只念
saṅkhata dhamma	有为法
saṅkhāra	行
saṅkhāra dhamma	行法
saṅkhāra dhammas	行法
sekkha	有学
