Abhaya	无畏
Abhidhamma	阿毗达摩
Aggi	火
Aggi Sutta	火经
Ayyamitta	阿亚米达
Bhikkhus	诸比库
Buddha	佛陀
Buddhānussati	佛随念
Cāgānussati	舍随念
Devatānussati	神随念
Dhammānussati	法随念
Hadayavatthu	心生起的物质基础
Kassaka	伽沙伽
Mahā	大
Mahāgandhārammaṇa	大键陀罗摩耶
Mahāmoggallāna	大目犍连
Mahāmāyādevī	摩訶摩耶夫人
Mahāsatipaṭṭhāna Sutta	大念处经
Mahāvagga Samyutta	《大品相应》
Mahāṭī	大义疏
Mama	我的
Padhāniyatissa	精勤帝须
Pathavī	巴踏威
Paṭiccasamuppāda	缘起法
Paṭisambhidā magga	无碍解道
Rāhulā	拉胡喇
Sam	相应部
Samghānussati	僧随念
Sammāpaṭipatti	正当行道
Samyutta	相应部
Silānussati	戒随念
Soṇa Thera	索那长老
Suddhodhana	净饭王
Sutta	经
Thera	长老
Tiracchānakathā Sutta	《畜生论经》
Tāvatimsā	第六层天
Ukkāka	甘蔗王
Upasamānussati	止息随念
Vakkali Thera	瓦卡利长老
Venerable Soṇa	索那尊者
Venerable Vakkali	瓦卡利尊者
Vesālī	毘舍离
Visuddhi Magga	《清净之道》
abhiññāṇa	特征
anatta	无我
anavajja	无过的
anicca	无常
annakathā	食物论
anupassanā	随观
anupassanā ñāṇa	随观智
anuṭīkā	再复注
appamāda	不放逸
appanā	安止
appanākosalla	安止善巧
appicchakathā	少欲论
arahant	阿拉汉
arahatta	阿拉汉
arahatta magga	阿拉汉道
arahatta magga ñāṇa	阿罗汉道智
arañña	林野
araññakathā	林野论
ariya	圣
ariya magga	圣道
ariya magga ñāṇa	圣道智
ariyamaggañāṇa	圣道智
asammoha	无痴
asammoha sampajañña	无痴正知
asappāya	不适宜
asaṅkhyeya kappa	阿僧祇劫
asurakāyabhūmi	阿修罗
atta	我
atthi	有
avikkhepa	不散乱
avikkhepa kicca	不散乱作用
aṭisambhidā Magga	《无碍解道》
bhante	尊者
bhassa	谈论
bhayakathā	怖畏论
bhikkhave	诸比库
bhikkhu	比库
bhojana	食物
bhāvanā	修习
bhāvanā kosalla	修习善巧
bhāvanākosalla	修习善巧
bhāvanāya	依修习
bhāveti	修習
bodhi	菩提
bodhipakkhiya	菩提分
bojjhaṅga	觉支
brahma	梵天神
brahmacariya	梵行
byādhi	疾病
bāhussacca	博识
caraṇa	行
catudhātuvavatthāna	四界差别
cetanā	思
cetiya	佛塔
citta	心
cittassa	心
cittaviveka	心远离
cittekaggatā	心一境性
cittekaggatā nimitta	心一境性相
corakathā	盗贼论
cuti	入灭
cāga	舍
dakkhiṇeyya	应受供养的
dassana	洞见
dassana kicca	照见作用
dhamma	法
dhammavicaya	择法
dhammavicayasambojjhaṅga	择法觉支
dhammā	诸法
dhātu	界
dibbasota	天耳通
diṭṭhi	见
domanassa	忧
dukkha	苦
dukkha ariya sacca	苦圣谛
dīpakathā	岛洲论
ekaggatā	一境性
gamanavīthi	应行之道
gambhīrañāṇacariya	深奥智行
gambhīrañāṇacariyapaccavekkhaṇā	深奥智行省察
gandhakathā	气味论
ganthadura	学习圣经的义务
gijjhakūṭa	鹫峰山
gocara	区域
gocara sampajañña	行处正知
gocaragāma	托钵村
gotama	果德玛
gāmakathā	村庄论
hadayavatthu rūpa	心所依处色
hirī	惭
hoti	发生
hotu	愿
idha	于此
indriya	根
indriyasamattapaṭipādanā	令诸根平衡而行道
iriyāpatha	威仪
iti	如此
itibhavābhavakathā	如是有无论
itthikathā	女人论
janapadakathā	国土论
jarā	老
jhāna	禅那
jhānassa	禅那的
jāti	生
jīva	命
kamma	业
kamma nimitta	业相
kappa	劫
karaṇa	造作
karaṇakosalla	作善巧
kasiṇa	遍
kathañca	如何
kathāvatthu	论事
khandhā	蕴
khattiya	刹帝利
kho	的确
kicca	作用
kilesa	烦恼
kilesā	染
kosa	俱卢舍
kosajja	懈怠
kosalla	善巧
kumbhaṭṭhānakathā	井边论
kāya	身
kāyaviveka	身远离
lakkhaṇā	相
lokakkhāyikakathā	世界起源论
lokiya	世间的
lokiyajhānasamāpatti	世间定
līnapakkha	退缩组
magga	道
magga ariya sacca	道圣谛
magga ñāṇa	道智
mahākhīṇāsava	大漏尽
mahāmattakathā	大臣论
mahāsammata	大选君
mahāsatipaṭṭhāna	大念处经
mahāsāvaka	大弟子
mahāvagga	大品
mahāṭīkā	大复注
manasikāra	作意
maraṇa	死
meditator	禅修者
middha	睡眠
migadāya	护鹿苑
moha	痴
mālākathā	花环论
mūlapaṇṇāsa	根本五十
nadīkathā	河流论
nagaraka	小城
nagarakathā	城市论
naya	法
nibbāna	涅槃
nidassana	比较
nigamakathā	城镇论
niggaha	抑制
nikkamadhātu	出离界
nimitta	相
nimitta kosalla	禅相善巧
nimittakosalla	相善巧
nirodha	灭
nirodha ariya sacca	灭圣谛
nirāmisa	离染
nāga	象
nāma	名
nāma khandhā	名蕴
nānattakathā	各种论
