Abhidhamma	阿毗达摩
Abhidhammatthavibhāvinī	阿毗达磨义广释
Aggi	火
Aṅguttara Nikāya	增支部
Bhikkhus	诸比库
Buddha	佛陀
Catukka	四法
Dhammasaṅgaṇī	《法集》
Kassapa	咖沙巴
Khuddikā pīti	小喜
Mahā	大
Mahāṭī	大义疏
Okkantikā pīti	继起喜
Sam	相应部
Samyutta	相应部
Sutta	经
Temiya	德米亚
Thera	长老
Upasamānussati	止息随念
Visuddhi Magga	《清净之道》
abhiññāṇa	特征
abyagga	不飘浮
adosa	无嗔
ahetuka	无因
ahirika	无惭
akusala	不善
alobha	无贪
amoha	无痴
anantara	无间
anottappa	无愧
anuloma	随顺
appamāda	不放逸
appanā	安止
appanā jhāna	安止禅
appanā jhāna javana	安止禅速行
appanā samādhi	安止定
appanākosalla	安止善巧
appanāsamādhi	安止定
apāya	苦界
apāya dukkha	恶趣苦
arahant	阿拉汉
arahatta	阿拉汉
arahatta magga	阿拉汉道
asamāhita	不得定的
asamāhita puggala parivajjanatā	远离无定之人
assa	他的
asubha	不净
asubha nimitta	不净禅相
asāmika	非所有者
atthi	有
atīte	过去
atīte vaṭṭa mūlaka dukkha	基于过去轮回之苦
avijjā	无明
aṭṭhasālinī	胜义分明
bhava	有
bhavaṅga	有分
bhavaṅgacalana	有分波动
bhaṅga	天然混紡
bhikkhave	诸比库
bhikkhu	比库
bhāva	有
bhāvanā	修习
bhāvanāpayoga	修习加行
bhāvanāya	依修习
bodhi	菩提
bodhisatta	菩萨
brahma	梵天神
byagga	飘浮
byādhi	疾病
byādhi dukkha	病苦
byāpāda	恶意
byāpāra	努力 / 加行
cakkhu	眼
catukka naya	四分法
cetasika	心所
chanda	欲
citta	心
cittaja ojaṭṭhamaka rūpa	心生以食素为第八的法聚
cittajarūpa	心生色
cittapassaddhi	心轻安
cittassa	心
cittekaggatā	心一境性
dhamma	法
dhammapada	《法句》
dhammavicaya	择法
dhammavicayasambojjhaṅga	择法觉支
dhammā	诸法
dhātu	界
diṭṭhi	见
dosa	瞋
duggati	恶趣
duggati bhava	恶趣生
dukanipāta	二集
dukkha	苦
dāna	布施
ekaggatā	一境性
ekatta	同一性
evameva	这样
gati	趣
hasituppāda	生笑
hoti	发生
iriyāpatha	威仪
issara	主宰者
iti	如此
jarā	老
jarā dukkha	老苦
javana	速行
jhāna	禅那
jhāna vimokkha	禅那解脱
jhāna vimokkha paccavekkhaṇatā	省察禅那解脱
jhānaṅga	禅支
jāgaraṇa	清醒
jāgaraṇa citta	醒觉心
jāti	生
jāti dukkha	生苦
jātissara	回忆前世
jātissara ñāṇa	宿命智
jīvi	生类
kamma	业
kammassakatā	业自性
kammassakatā paccavekkhaṇa	业自性省察
kapila	咖毕拉
kasiṇa	遍
khandhā	蕴
khaṇa	剎那
khaṇikā pīti	刹那喜
kho	的确
kiriya	唯作
kiñci	任何
kosajja	懈怠
kosalla	善巧
kriyāmaya	动作完成
kriyāmaya citta	唯作心
kukkucca	追悔
kusala	善
kusalatā	善巧
kāma	欲
kāmacchanda	感官之欲
kāmacchanda nīvaraṇa	欲欲盖
kāmacchandanīvaraṇa	欲欲盖
kāmāvacara	欲界
kāya	身
