Abhidhammattha saṅgaha	《摄阿毗达摩义论》
Anupada Sutta	《不断经》
Buddha	佛陀
Catukka	四法
Cittānupassanā	心随观
Dhammānupassanā	法随观
Mahā	大
Mahāmahinda thera	马哈马兴达长老
Mahāvedalla sutta	大明经
Nissaya	依词释
Sam	相应部
Sutta	经
Thera	长老
Vedanānupassanā	受随观
Visuddhi Magga	《清净之道》
a-dukkha- ma-sukha	不苦又不乐
a-dukkha-ma-sukha	不苦又不乐
abhiññā	神通
abs	连续体
adhamma	非法
adhikāra	胜行
adukkhamasukha	不苦不乐
adukkhamasukha vedanā	不苦不乐受
aggivessana	阿吉韦思那
ahetuka	无因
akusala	不善
anatta	无我
anicca	无常
aniccatā	无常性
aniccānupassanā	随观无常
aniccānupassī	无常随观者
anuloma	随顺
anupassanā	随观
anusaya	潜伏
anāgāmi	不来者
anāgāmi magga	不来道
apatthayamānā vā	或不希求
arahant	阿拉汉
arahatta	阿拉汉
asammoha	无痴
asaṅkhata	无为
assa	他的
assasanto	在入息
assasissāmi	我将入息
assasissāmīti sikkhati	他学‘我将入息’
assāsa	入息
assāsa passāsa	入息与出息
assāsapassāsa	入出息
asubha	不净
atta	我
avicāra	无徘徊
avijjā	无明
avitakka	无投入
avitakka avicāra	无寻无伺
aññamañña	相互
aññathatta	住
aññathattā	住
base	词典源型
bhava	有
bhavaṅgacalana	有分波动
bhaṅga	天然混紡
bhikkhave	诸比库
bhikkhu	比库
bhāva	有
bhāvanā	修习
bhūmi	地
brahma	梵天神
cakkhu	眼
catukka naya	四分法
catuttha jhāna	四禅
catuttha jhāna samāpatti	入第四禅定
catutthajjhānakathā	第四禅论
cetanā	思
cetasika	心所
cetasika somanassa	心悦
cetasika sukha	心乐
cetaso ekodibhāva	心一境
cetovimutti	心解脱
citta	心
cittekaggatā	心一境性
cittā	姬达
cunda	准德
desanāvilāsa	美妙的教育
dhamma	法
dhammā	诸法
dhātu	界
domanassa	忧
domanassa vedanā	忧受
dosa	瞋
dukkha	苦
dutiya	第二个
dutiya catukka	第二组四法
ekaggatā	一境性
ekodi	一境界
ekodibhāva	成为一境界
evameva	这样
hadaya vatthu	心所依处色
hetu	因
hoti	发生
idha	于此
janaka	生
jarā	老
javana	速行
jhāna	禅那
jhāna samāpatti	禅定
jhānalābhī	得到禅定者
jhānaṅga	禅支
jhānupekkhā	禅舍
kalāpa	色聚
kalāpa sammasana	聚思惟
kalāpa sammasana naya	聚思惟
kamma	业
karajakāya	不净所生身
kathā	论
khandha	蕴
khaya	尽
kho	的确
kicca	作用
kilesa	烦恼
kilesā	染
kusala	善
kāma	欲
kāya	身
kāyika sukha	身乐
kāyānupassanā	身随观
līnapakkha	退缩组
magga	道
majjhatta	中庸
manasīkāra	作意
manda paññavā	迟钝的智慧
manodvārāvajjana	意门转向
meditator	禅修者
moggallāna	摩嘎喇那
moha	痴
māna	慢
nanda	难德
nandopananda	难都巴难德
nandī	喜
naya	法
nibbidā	倦离
nibbāna	涅槃
nicca	常
nidāna	来源
nimitta	相
nirodha	灭
nirodhānupassī	灭尽随观者
nāma	名
nāmakāya	名身
nīvarana	盖
obhāsa	光明
paccaya	缘
pahāna	舍断
pahānaṅga	舍断支
pana	此外
parikamma	遍作
passasanto	在出息
passāsa	入息
pathama catukka	第一组四法
patthanā	愿求
pañcaka naya	五种法
pañcakkhandha	五蕴
paññatti	概念
paññindare	慧力
phala	果
phassa	触
puggala	个体
puggalajjhāsaya	众生意乐
pāgabhāva	未存在
pārisuddhi	遍净
pīti	喜
rakkhita	已守护
rasa	作用
rāga	贪 / 爱染
rāgānusaya	贪随眠
rūpa	色
rūpāvacara	色界
sacca	谛
sahajāta	俱生
sakkāya	有身（见）
samatha	止
sammasana	思惟
sampajāna	正知
samuccheda	正断
samudaya	集
samādhi	定
samādhisambojjhaṅga	定觉支
samāpajjana	入定
samāpajjanavasī	入定自在
samāpatti	等至
sappītika	欢喜
sati	念
sato ca sampajāno	念与正知
sato sampajāno	念、正知
saññā	想
saṅgaha	包含
saṅkhata	有为
saṅkhāra	行
sekkha	有学
sikkhati	他学
somanassa	悦
somanassa vedanā	悦受
sotāpatti	入流
sotāpatti magga	入流道
sugati	善趣
sukha	乐
sukha vedanā	乐受
suttanta	经
sāmañña	一般性
sāriputta	沙利子
sāsanā	教法
tadaṅga	暂时
tatiyajjhānakathā	第三禅论
tatra	彼处
tatramajjhattatā	中舍性
tatramajjhattupekkhā	中舍性舍
tikanipāta	三集
tikkha paññavā	敏锐智慧
udayabbaya	生灭
uddhacca	掉举
upacāra	近行
upakkilesa	随烦恼
upamā	比喻
upanissaya	强依止
upatthambhaka	支持
upekkhako ca viharati	舍住
upekkhako satimā sukhavihārī	舍念乐住
upekkhā	舍
upekkhā vedanā	舍受
upekkhāsatipārisuddhi	舍念清静
upekkhāya	舍受
uppāda	生起
vassa	雨安居
vasī	自在
vatthu	依处
vatthukāma	desire for materiality
vaya	灭
vedanā	受
vedanāya	受的
vibhaṅga	分别
vicāra	伺
viharati	住
vijjā	[三]明
vikkhambhana	抽离
vimutti	解脱
vipassanā	观
vipāka	果报
virāga	离染
visuddhi	清净
visākha	维沙卡
vitakka	寻
vohāra sacca	世俗谛
vuccanti	被称为
vīriyasambojjhaṅga	精进觉支
yakkha	被祭的神灵
yassa	名誉
ābhoga	意欲
ādikammika	初犯
āna	入息
ānāpānassati	入出息念
ānāpānassati kathā	入出息念论
āsava	漏
āsevana	重复
āvajjanavasī	转向自在
āvuso	朋友
