-ka	具有……者
Abhidhamma	阿毗达摩
Abhidhammattha saṅgaha	《摄阿毗达摩义论》
Bhikkhus	诸比库
Buddha	佛陀
Hadayavatthu	心生起的物质基础
Lakkhaṇa	特相
Mahā	大
Mahāṭī	大义疏
Pathavī	巴踏威
Pātimokkha	巴帝牟卡
Rūpakammaṭṭhāna	色业处
Sam	相应部
Susima	苏西玛
Sutta	经
Thera	长老
Vinaya	律
Visuddhi Magga	《清净之道》
Visuddhimagga	《清净道论》
abhijjhā	貪求
abhinivesa	黏着
abhinīhāra	至上愿
adhicitta	增上心
adhimokkha	胜解
ajjhāsaya	意乐
akusala	不善
anatta	无我
anicca	无常
aniccatā	无常性
anuloma	随顺
anuyutta	修习的
anāgāmi	不来者
arahant	阿拉汉
arahatta	阿拉汉
ariya	圣
arūpa	非色
arūpavacara	无色界
assa	他的
atta	我
avijjā	无明
bahiddha	外在
base	词典源型
bhante	尊者
bhavaṅga	有分
bhikkhave	诸比库
bhikkhu	比库
bhāva	有
bhāvanā	修习
bhāvanāya	依修习
bhāvarūpa	性根色
bhūmi	地
bhūta	众生
brahma	梵天神
cakkhu	眼
cakkhupasāda	眼净色
catusacca	四个真理
catusamuṭṭhānika	四种等起的
cetanā	思
citta	心
cittajaojā	心生食素
cittassa	心
cittavisuddhi	心清净
dassana	洞见
deva	神
dhamma	法
dhātu	界
dibbacakkhu	天眼
diṭṭhi	见
diṭṭhivisuddhi	见清净
domanassa	忧
dosa	瞋
dukkha	苦
dāna	布施
eti	来
evameva	这样
gandha	气味
ghana	密集
ghānapasāda	鼻净色
gocara	区域
gāvuta	牛呼
hadaya vatthu	心所依处色
hetu	因
hirī	惭
hoti	发生
hotu	愿
iddhi	神变
indriya	根
iti	如此
itthibhāva	女性根色
jhāna	禅那
jāti	生
jīvita	命
kalāpa	色聚
kamma	业
kamma nimitta	业相
kammajaojā	业生食素
kammaniya	适业
kammaññatā	适业性
kammaṭṭhāna	业处
kho	的确
kilesa	烦恼
kosajja	懈怠
kusala	善
kāmacchanda	感官之欲
kāyapasāda	身净色
kāyaviññatti	身表
lahutā	轻快性
lobha	贪
loka	世间
magadha	马嘎塔
magga	道
mahaggata	广大
mahābhūta	大种
mahārāja	大王
manasīkāra	作意
manodhātu	意界
manoviññāṇadhātu	意识界
meditator	禅修者
mettā	慈爱
middha	睡眠
milinda	弥林德
moggallāna	摩嘎喇那
muditā	喜
mudu	柔软的
mudubhūta	柔软
mudutā	柔软性
māna	慢
māyā	诳
mūla	根本
nibbāna	涅槃
nikanti	微细的欲求
nikāya	部
nimitta	相
nipāta	不变化词
nirodha	灭
nisīdati	坐下
nāgasena	龙军
nāma	名
nāmarūpa	名色
nāmarūpapariccheda	名色限定
nīvaraṇa	盖
obhāsa	光明
obhāsagata	光明
ojaṭṭhamaka	食素为第八的
ojā	食素
pabhassara	极光净
pabhā	光照
paccakkha	亲见
paccaya	缘
paccayapariggaha	缘摄受
paccupanna	现在
paccupaṭṭhāna	现起
pahāna	舍断
pajjota	光
pajānāti	了知
pamāda	放逸
pana	此外
paramattha	神我
pariccheda	节
pariggaha	摄受
parikamma	遍作
parikammāloka	预作光
parisuddha	遍净
pariyodāta	洁净
pariyodāte	净光
pariññā	遍知
passaddhi	轻安 / 平静
pasāda	纯净
patta	钵
pañcaviññāṇa	五识
pañcavokāra	五蕴
paññindare	慧力
paññā	慧
paṭibhāga	相似
paṭicca	缘
paṭipadā	行道
phala	果
phalūpacāra	喻果
phassa	触
phoṭṭhabbadhātu	触界
purisabhāva	男性根色
pāli	巴利语
pāpaka	恶
pārisuddhi	遍净
pīti	喜
rasa	作用
rūpa	色
rūpārammaṇa	色所缘
sabhāva	本质
sabhāva lakkhaṇa	自性相
sabhāvarūpa	有各自属性的物质
sacca	谛
sadda	声音
saddhammassavana	听闻正法
saddhā	信
sadisūpacāra	等同近行
salakkhaṇa	自己的特性
samatha	止
samathavipassanā	止观
samathayānika	以止为乘者
sammasana	思惟
sammā	正
samudaya	集
samuppāda	集起
samādhi	定
samāhita	入定
samāpatti	等至
santati	相续
sarīra	身
sati	念
sato sampajāno	念、正知
saññā	想
saññāya	想的
saññī	有想的
saṅgaha	包含
saṅkhāra	行
somanassa	悦
sotapasāda	耳净色
suddhavipassanāyānika	纯观行者
sukha	乐
suttanta	经
sāmañña	一般性
sīhāsana	殊胜处
sīla	戒
sīlavisuddhi	戒清净
tatramajjhattatā	中舍性
tatramajjhattupekkhā	中舍性舍
tejo	火
thina	心力不足
thina middha	昏沉睡眠
thinamiddha	昏沉睡眠
udayabbaya	生灭
