-in	具有……者
Buddha	佛陀
Mahāṭī	大义疏
Mūlaṭīkā	根本复注
Nissaya	依词释
Visuddhimagga	《清净道论》
abhiññāṇa	特征
adosa	无嗔
ahetuka	无因
akaniṭṭha	色究竟
alobha	无贪
amoha	无痴
anantara	无间
anupādinna	无执取的
anuruddha	阿努儒达
arahant	阿拉汉
arūpa	非色
assāsa	入息
assāsa passāsa	入息与出息
aññamañña	相互
aṭṭhakathā	义注
base	词典源型
bhikkhu	比库
bhūmi	地
bodhisatta	菩萨
catusamuṭṭhāna	四種(條件)的生起
catusamuṭṭhānika	四种等起的
cetanā	思
citta	心
citta samuṭṭhāna	由心而生
citta samuṭṭhāna rūpa	心生色
cittaja ojaṭṭhamaka rūpa	心生以食素为第八的法聚
cittajarūpa	心生色
cittasamuṭṭhāna	心生
cittasamuṭṭhāna rūpa	心转起色
deva	神
dhamma	法
dhammā	诸法
dhātu	界
dosa	瞋
ekaggatā	一境性
hasituppāda	生笑
iriyāpatha	威仪
janaka	生
javana	速行
jhāna	禅那
jāgaraṇa	清醒
jāgaraṇa citta	醒觉心
jīvita	命
jīvitanavaka	命为第九的
jīvitanavaka kalāpa	命根九法聚
kalāpa	色聚
kamma	业
kamma samuṭṭhāna	由业而生
kammajaojā	业生食素
kammajarūpa	业生色
kammapaccaya	业缘
kammasamuṭṭhāna	业生
kasiṇa	遍
koṭṭhāsa	身分
kriyāmaya	动作完成
kriyāmaya citta	唯作心
kusala	善
kāyasankhāra	身行
lobha	贪
lokuttara	出世间
magga	道
mahaggata	广大
mahākriyā	大唯作
mahāṭīkā	大复注
manasikāra	作意
manodhātu	意界
manodvārika javana	意门转向
manoviññāṇadhātu	意识界
meditator	禅修者
moha	痴
mūla	根本
nibbatti	转生
nibbāna	涅槃
nimitta	相
nirodha	灭
nāma	名
ojaṭṭhamaka	食素为第八的
ojaṭṭhamaka rūpa	食素为第八法的色
ojā	食素
paccaya	缘
paccayo	缘
pacchājāta	后生
pacchājātā	后生
paramattha	神我
paramattha sacca	究竟谛
passāsa	入息
pavatti	生命期间
pañcaviññāṇa	五识
pañcavokāra	五蕴
paññā	慧
paṭibhāga	相似
paṭibhāga nimitta	似相
paṭisandhi	结生
paṭṭhāna	众缘
phassa	触
purejāta	前生
purejātanissaya	前生依止
pāli	巴利语
pīti	喜
rūpa	色
sacca	谛
saddhā	信
sahajāta	俱生
samatha	止
sammādiṭṭhi	正见
sampajañña	正知
sampaṭicchana	领受
samuṭṭhāna	生起之因
samuṭṭhāpeti	等起
samādhi	定
samāpatti	等至
santati	相续
santīraṇa	推度
sati	念
saññā	想
somanassa	悦
sukha	乐
sāvaka	弟子
upacaya	积聚
upanissaya	强依止
upanissaya satti	亲依止力
upatthambhaka	支持
upekkhā	舍
uppāda	生起
uppādakkhaṇa	生起的刹那
upādinna	执取的
utu	季节
utuja ojaṭṭhamaka	时节生食素为第八的
utuja ojaṭṭhamaka rūpa	时节生食素为第八的色
utuja ojā	时节生食素
utujarūpa	时节生色
utusamuṭṭhāna	时节转起
vatthu	依处
vatthuka	依处
vedanā	受
vicāra	伺
vipassanā	观
vipāka	果报
virāga	离染
visuddhi	清净
vitakka	寻
viññatti	表
viññāṇa	识
vīriya	精进
vīthimutta	离路心
yamaka	双论
āhāra	食
āhāra samuṭṭhāna	由食而生
āhāraja ojā	食生食素
āhārajarūpa	食生色
āhārapaccaya	食缘
āhārasamuṭṭhāna	食等起
ākāsa	空间
ārammaṇa	所缘
Ṭīkā	复注
ṭhiti	住
