Buddha	佛陀
Mūlaṭīkā	根本复注
Nissaya	依词释
Rūpakammaṭṭhāna	色业处
Sam	相应部
Visuddhimagga	《清净道论》
aṭṭhakathā	义注
aṭṭhasālinī	胜义分明
bhikkhu	比库
cakkhu	眼
cittajarūpa	心生色
cittakkhaṇa	心识刹那
cittasamuṭṭhāna	心生
cittasamuṭṭhāna rūpa	心转起色
dhamma	法
dvāra	门
iriyāpatha	威仪
jarā	老
kamma	业
kamma dvāra	业门
kammaṭṭhāna	业处
kāya	身
kāyakamma	身业
kāyaviññatti	身表
mahāsiva	大西瓦
manodvāra	意门
manodvāra vīthi	意门心路
maraṇa	死
meditator	禅修者
naya	法
nibbāna	涅槃
nāma	名
nāmakammaṭṭhāna	名业处
nāmarūpapariccheda	名色限定
nāmarūpapariccheda ñāṇa	名色分别智
pabbata	山岳
paccaya	缘
padhāna	中心词
padhāna naya	象征法
pāli	巴利语
rūpa	色
rūpa kammaṭṭhāna	色业处
rūpakkhandha	色蕴
rūpakāya	色身
sacca	谛
sampajañña	正知
saṅkhata	有为
saṅkhata dhamma	有为法
saṅkhāra	行
saṅkhāra dhamma	行法
upanissaya	强依止
viññatti	表
viññāṇa	识
vīthi	心路
yojana	由旬
ñāṇa	智
āvajjana	转向
Ṭīkā	复注
