-in	具有……者
-ka	具有……者
Abhidhamma	阿毗达摩
Hadayavatthu	心生起的物质基础
Mahā	大
Mahāsatipaṭṭhāna Sutta	大念处经
Mūlaṭīkā	根本复注
Sutta	经
Tāvatimsā	第六层天
Uttara	伍达拉
abhijjhā	貪求
adhimokkha	胜解
ahirika	无惭
anatta	无我
anicca	无常
aniccatā	无常性
aniṭṭha	不可喜
anottappa	无愧
anuruddha	阿努儒达
anuṭīkā	再复注
ariya	圣
asaddhamma	非正法
asubha	不净
atta	我
avijjā	无明
ayonisomanasikāra	不如理作意
base	词典源型
bhavarāga	有上的爱染
bhikkhu	比库
bhāvanā	修习
cetanā	思
cetasika	心所
chanda	欲
citta	心
dassana	洞见
dhamma	法
diṭṭhi	见
diṭṭhigata	主见的偏颇
diṭṭhigatavippayutta	邪见不相应
domanassa	忧
dosa	瞋
dukkha	苦
dukkhasacca	苦谛
ekaggatā	一境性
ekanta	一向
ghānapasāda	鼻净色
hirika	惭
idha	于此
issā	嫉妒
iṭṭhārammaṇa	可喜所缘
jaratā	老性
javana	速行
jīvita	命
kammajarūpa	业生色
kammaññatā	适业性
karuṇā	悲悯
kasiṇa	遍
kicca	作用
kukkucca	追悔
kāmarāga	染污的感官之乐
kāmavitakka	欲寻
kāmāvacara	欲界
kāyapasāda	身净色
kāyaviññatti	身表
lahutā	轻快性
lobha	贪
macchariya	悭吝
mahāsatipaṭṭhāna	大念处经
manasikāra	作意
meditator	禅修者
micchā	错误
moha	痴
mohamūla	痴根
muditā	喜
mudutā	柔软性
māna	慢
mūla	根本
mūlapaṇṇāsa	根本五十
naya	法
nibbāna	涅槃
nicca	常
nidassana	比较
nimitta	相
nāmakammaṭṭhāna	名业处
pajānāti	了知
pana	此外
paramattha	神我
paritta	小
pariyattisaddhamma	教正法
parāmāsa	执着
pasāda	纯净
pasādarūpa	净色
paṭibhāga	相似
paṭibhāga nimitta	似相
paṭicca	缘
paṭigha	厌恶
paṭighasampayutta	嗔相应
paṭipatti	行道
paṭisandhi	结生
phassa	触
puṇṇa	本那
pāli	巴利语
pīti	喜
rakkhita	已守护
rasa	作用
sabhāva	本质
sacca	谛
saddhamma	正法
samatha	止
sammohavinodanī	迷惑冰消
sampattavirati	习惯离
sampayutta	相应
samuccheda	正断
samucchedavirati	正断离
samudaya	集
samudayasacca	集谛
samyojana	结缚
samādānavirati	受持离
santati	相续
sappurisa	妙士
sasaṅkhārika	有行
sassata	常见
satipaṭṭhāna	念处
satta	有情
saññā	想
sikkhāpada	训练要素
somanassa	悦
sotapasāda	耳净色
sukha	乐
suttanta	经
sāsanā	教法
sīlabbataparāmāsa	戒禁取
uddhacca	掉举
upacaya	积聚
upekkhā	舍
upekkhāsahagata	舍俱
uposatha	伍波思特
utujarūpa	时节生色
vatthu	依处
vaṇṇanā	注解
vedanā	受
vicikicchā	疑
vicāra	伺
vimāna	天宫
vipassanā	观
vipāka	果报
virati	远离
vitakka	寻
voṭṭhabbana	确定
vāra	界限
vīriya	精进
yonisomanasikāra	如理作意
āhārajarūpa	食生色
ākāsadhātu	空界
ānāpāna	入出息
āpodhātu	水界
āvajjana	转向
Ṭīkā	复注
