-ka	具有……者
Abhidhamma	阿毗达摩
Buddha	佛陀
Pathavī	巴踏威
anatta	无我
anicca	无常
aniccatā	无常性
aniṭṭha	不可喜
anuṭīkā	再复注
arūpasattaka	七非色
atta	我
base	词典源型
bhikkhu	比库
bhāvarūpa	性根色
brahma	梵天神
cakkhu	眼
cakkhupasāda	眼净色
cetasika	心所
citta	心
dhamma	法
diṭṭhi	见
diṭṭhigata	主见的偏颇
diṭṭhigatasampayutta	邪见相应
dukkha	苦
gandha	气味
gati	趣
iti	如此
iṭṭha	可喜的
jaratā	老性
jhāna	禅那
jīvita	命
kamma	业
kammanimitta	业相
kammaññatā	适业性
kasiṇa	遍
kāyapasāda	身净色
lahutā	轻快性
lakkhaṇā	相
lobha	贪
magga	道
manodvāra	意门
maraṇassati	念死
meditator	禅修者
mettā	慈爱
middha	睡眠
mudutā	柔软性
naya	法
nibbāna	涅槃
nicca	常
nimitta	相
nāma	名
nāmakammaṭṭhāna	名业处
ojā	食素
parikamma	遍作
pathavīdhātu	地界
pañcadvāra	五门
paṭisandhi	结生
phassapañcamaka	触为第五的
pāli	巴利语
pīti	喜
rasa	作用
sadda	声音
saha	同时
samatha	止
sampayutta	相应
samādhi	定
santati	相续
sasaṅkhārika	有行
somanassasahagata	悦俱
sukha	乐
suttanta	经
tejo	火
thina	心力不足
ukkaṭṭhaniddesa	殊胜义释
upacaya	积聚
upacāra	近行
upacāra samādhi	近行定
upekkhāsahagata	舍俱
utu	季节
vaṇṇa	色
vipassanā	观
vippayutta	不相应
visuddhi	清净
vāyo	风
vīthi	心路
ñāṇa	智
āhāra	食
āhārajarūpa	食生色
ākāsadhātu	空界
āpo	水
