-in	具有……者
Abhidhamma	阿毗达摩
Bhikkhus	诸比库
Buddha	佛陀
Mahā	大
Mūlaṭīkā	根本复注
Sam	相应部
Susima	苏西玛
Sutta	经
anantara	无间
anantarūpanissaya	无间亲依止
anatta	无我
anicca	无常
aniccānupassanā	随观无常
anuppāda	无生
appicchakathā	少欲论
arahant	阿拉汉
asammoha	无痴
asammoha sampajañña	无痴正知
asura	阿苏罗
atta	我
attha	目的状语
base	词典源型
bhante	尊者
bhikkhave	诸比库
bhikkhu	比库
bhāvanā	修习
bodhipakkhiya	菩提分
brahma	梵天神
cetasika	心所
cetiya	佛塔
citta	心
cittajarūpa	心生色
cittaniyama	心之定律
cuti	入灭
cīvara	衣
deva	神
dhamma	法
dhammavinaya	法与律
dukkha	苦
dukkhasacca	苦谛
dukūla	度库拉布
gatapaccāgatavatta	往返义务
ghana	密集
gocara	区域
gocara sampajañña	行处正知
gocarasampajañña	行处正知
hoti	发生
iriyāpatha	威仪
javana	速行
jīva	命
kalāpa	色聚
kamma	业
kathāvatthu	论事
khaya	尽
khaya vaya	坏灭
kho	的确
kiriya	唯作
kiriyā	唯作
kāra	字
kāyaviññatti	身表
mahācetiya	大塔
mahānāga	大龙
mahāsīva	马哈西瓦
manasikāra	作意
meditator	禅修者
mūla	根本
nibbāna	涅槃
nidassananaya	显示法
nirodha	灭
nāma	名
nāmarūpa	名色
nāmarūpapariccheda	名色限定
nāmarūpapariccheda ñāṇa	名色分别智
nīvaraṇa	盖
paccaya	缘
paccaya pariggaha	缘摄受
paccaya pariggaha ñāṇa	缘摄受智
pahārāda	帕哈拉达
palibodha	障碍
pariccheda	节
pariggaha	摄受
parinibbāna	般涅槃
pariññā	遍知
pavatta	生命期间
pavivekakathā	远离论
paññatti	概念
paññākathā	慧论
phalūpacāra	喻果
puggala	个体
pāli	巴利语
rūpa	色
rūpadhamma	色法
sabba	所有
saddāyatana	声处
samanantara	等无间
samatha	止
sammohavinodanī	迷惑冰消
sammāpayoga	正加行
sampajañña	正知
sampajāna	正知
samudayasacca	集谛
samādhikathā	定论
samāpatti	等至
sappāya	适
sappāya sampajañña	适宜正知
sappāyasampajañña	适宜正知
saraṇa	有诤
sati	念
saṅkhāra	行
sekkha	有学
sikkhā	学
sukha	乐
suttanta	经
sādhu	萨度
sāmaññaphala	沙门果
sāsanā	教法
sāttha	有义
sātthaka	有益
sātthaka sampajañña	有益正知
sātthakasampajañña	有益正知
sīlakathā	戒论
sīlavisuddhi	戒清净
uppāda	生起
vaya	灭
vedanā	受
vimuttikathā	解脱论
vipassanā	观
vāta	瓦塔
vāyodhātu	风元素
vīthimutta	离路心
ñāṇa	智
āhārajaoja	食生食素
