Abhidhamma	阿毗达摩
Bhikkhus	诸比库
Buddha	佛陀
Cittānupassanā	心随观
Dhammānupassanā	法随观
Dhātuvibhanga Sutta	界分别经
Gehasita	依靠[感官渴爱的]家
Lakkhaṇa	特相
Mahā	大
Mahārāhulovāda sutta	教诫罗睺罗大经
Mūlaṭīkā	根本复注
Nissaya	依词释
Rūpakammaṭṭhāna	色业处
Sutta	经
Thera	长老
Vedanānupassanā	受随观
adukkhamasukha	不苦不乐
aggivessana	阿吉韦思那
amata	不死
anatta	无我
anatta lakkhaṇa	无我相
anatta lakkhaṇa sutta	《无我相经》
anicca	无常
anupassanā	随观
anuppādanirodha	不生灭尽
anuttara	无上的
anuṭīkā	再复注
arahant	阿拉汉
arūpa	非色
arūpa pariggaha	非色摄受
asamapekkhana	不平等的看待
asevitabba	不应依止
asubha	不净
atta	我
atthi	有
avigata	不离去
avijjā	无明
aññamañña	相互
aṭṭhakathā	义注
bahubbīhisamāsa	多财释复合词
base	词典源型
bhante	尊者
bhikkhu	比库
catudhātuvavatthāna	四界差别
cetasika	心所
citta	心
cittā	姬达
cuti	入灭
dhamma	法
dhammapada	《法句》
dhammā	诸法
diṭṭhivisuddhi	见清净
domanassa	忧
domanassa vedanā	忧受
dukkha	苦
dukkha vedanā	苦受
dīghanikāya	长部
hetupaccaya	因缘
itivuttaka	如是说
janakapaccaya	令生缘
jhāna	禅那
kamma	业
karajakāya	不净所生身
khayanirodha	消散灭尽
khayavirāga	消亡离贪
kāmaguṇa	(五个)爱欲的目标
kāyānupassanā	身随观
magga	道
maggabrahmacariya	道梵行
mahāpavāraṇā	大自恣邀请
mahāsatipaṭṭhāna	大念处经
mahāsīva	马哈西瓦
mahāvagga	大品
mahāṭīkā	大复注
majjhima	中
majjhima nikāya	中部
manasikāra	作意
meditator	禅修者
moha	痴
naya	法
nibbāna	涅槃
nicca	常
niddesa	广释
nidāna	来源
nikāya	部
nirāmisa	离染
nāmakammaṭṭhāna	名业处
paccakkha	亲见
paccaya	缘
paccaya pariggaha	缘摄受
paccaya pariggaha ñāṇa	缘摄受智
paccayapariggahañāṇa	把握缘之智
paccuppanna	现在
pajānāti	了知
pakiṇṇaka	杂
pariggaha	摄受
parinibbāna	般涅槃
pariññā	遍知
pavāraṇā	自恣邀请
paṭicca	缘
paṭikūla	可厌
paṭikūlamanasikāra	厌恶作意
paṭisambhidā	辨析
paṭisandhi	结生
paṭivedha	通达
phala	果
phassa	触
phassapañcamaka	触为第五的
puggala	个体
pāli	巴利语
pīti	喜
pītipāmojja	喜乐
raṭṭhapāla	护国
rūpa	色
rūpa pariggaha	色摄受
rūpapariggaha	色摄受
sahajāta	俱生
sakka	帝释
samatha	止
samathayānika	以止为乘者
sammasanañāṇa	触及智
sammohavinodanī	迷惑冰消
sampajāna	正知
santati	相续
sappāya	适
satipaṭṭhāna	念处
saññā	想
sevitabba	应依止
somanassa	悦
somanassa vedanā	悦受
sujā	苏佳
sukha	乐
sukha vedanā	乐受
sukhavedanā	乐受
sāmaññaphala	沙门果
sāsanabrahmacariya	教梵行
tatramajjhattata	中舍性
taṇhā	渴爱
udayabbaya	生灭
udayabbaya ñāṇa	生灭智
ukkaṭṭhaniddesa	殊胜义释
upanissaya	强依止
uparipaṇṇāsa	顶端五十
upatthambhaka	支持
upekkhā	舍
upekkhā vedanā	舍受
uppāda	生起
utu	季节
vassa	雨安居
vatthu	依处
vedalla	智得
vedanā	受
vimokkha	解脱
vipassanā	观
vipassanā ñāṇa	观智
viññāṇa	识
vuṭṭhānagāminī vipassanā	至出起观
vīthimutta	离路心
yojana	由旬
yonisomanasikāra	如理作意
ñātapariññā	智遍知
ñāṇa	智
ābhoga	意欲
āhāra	食
ānāpānapabba	入出息部分
āvuso	朋友
ṭhiti	住
