-in	具有……者
Abhidhamma	阿毗达摩
Atthasālinī	胜义说
Bhikkhus	诸比库
Buddha	佛陀
Lakkhaṇa	特相
Mahā	大
Mahāgandhārammaṇa	大键陀罗摩耶
Mahāsatipaṭṭhāna Sutta	大念处经
Mahāṭī	大义疏
Milinda pañha	弥林达问经
Sam	相应部
Sutta	经
Uttara	伍达拉
addhāpaccuppanna	一世现在
adhimokkha	胜解
ahetuka	无因
ahirika	无惭
anatta	无我
anicca	无常
anottappa	无愧
anuloma	随顺
anuttara	无上的
appanā	安止
appanā samādhi	安止定
arahant	阿拉汉
arūpa	非色
asammoha	无痴
asammoha sampajañña	无痴正知
asammohasampajañña	无痴正知
asubha	不净
atta	我
attadiṭṭhi	我见
avijjā	无明
ayonisomanasikāra	不如理作意
aṭṭhasālinī	胜义分明
base	词典源型
bhante	尊者
bhikkhu	比库
brahma	梵天神
bāhiya	跋黑亚
cetana	思考
cetanā	思
cetasika	心所
chanda	欲
citta	心
cittajarūpa	心生色
cittaniyama	心之定律
cittuppāda	心生起
cuti	入灭
dassana	洞见
dassana kicca	照见作用
deva	神
dhamma	法
dhammā	诸法
dhātu	界
diṭṭha	见
diṭṭhi	见
dosa	瞋
dukkha	苦
dvāra	门
ekaggatā	一境性
ekanirodha	一起灭去
ekavatthuka	一个基础
ekuppāda	同生
gatinimitta	趣相
gotrabhū	种姓
hasituppāda	生笑
hiri	自重
issā	嫉妒
javana	速行
jhāna	禅那
jīvita	命
kamma	业
kammajarūpa	业生色
kammanimitta	业相
kammaññatā	适业性
karuṇā	悲悯
kasiṇa	遍
kiriyā	唯作
kukkucca	追悔
kusala	善
kāmacchanda	感官之欲
kāmāvacara	欲界
kāya	身
kāyapassaddhi	身轻安
lahutā	轻快性
lakkhaṇā	相
lobha	贪
lokiya	世间的
macchariya	悭吝
magga	道
mahaggata	广大
mahāsatipaṭṭhāna	大念处经
mahāvipāka	大果报
mahāṭīkā	大复注
manasikāra	作意
manodvārāvajjana	意门转向
manoviññāṇa	意识
meditator	禅修者
micchādiṭṭhi	邪见
middha	睡眠
milinda	弥林德
milindapañha	弥林达问
moha	痴
muditā	喜
mudutā	柔软性
māna	慢
māyā	诳
mūla	根本
nibbatti	转生
nibbāna	涅槃
nicca	常
nidassana	比较
nimitta	相
nissaraṇavimutti	出离解脱
nāgasena	龙军
nāmaghana	名密集
ottappa	愧
paccupaṭṭhāna	现起
paccuppanna	现在
padaṭṭhāna	足处
pahāna	舍断
pakiṇṇaka	杂
pana	此外
parikamma	遍作
parittārammaṇa	小所缘
pariññā	遍知
passaddhi	轻安 / 平静
pavatti	生命期间
pañcadvārāvajjana	五门转向
paññindriya	慧根
paṭibhāga	相似
paṭibhāga nimitta	似相
paṭicca	缘
paṭippassaddhi	止息
paṭisandhi	结生
phassa	触
puggala	个体
pāli	巴利语
pīti	喜
rasa	作用
rāga	贪 / 爱染
rūpa	色
sabbacittasādhāraṇa	遍一切心心所
sabhāva	本质
saddhā	信
sakkāya	有身（见）
sakkāya diṭṭhi	有身见
samatha	止
samathayānika	以止为乘者
sammasana	思惟
sammasana ñāṇa	思惟智
sammādiṭṭhi	正见
sammākammanta	正业
sammāvācā	正语
sammāājīva	正命
sampajañña	正知
sampayutta	相应
sampaṭicchana	领受
samucchedavimutti	彻断解脱
samuppāda	集起
samādhi	定
samāpatti	等至
sasaṅkhārika	有行
sati	念
satipaṭṭhāna	念处
sattasaññā	有情想
saññā	想
saṅkhāradhamma	行法
somanassa	悦
somanassasahagata	悦俱
sukha	乐
sādhāraṇa	共通的
sāṭheyya	背叛
tadārammaṇa	彼所缘
tatramajjhattatā	中舍性
thina	心力不足
uddhacca	掉举
udāna	《感慨》
upacāra	近行
upaladdhi	观念
upalakkhaṇa	区别
upapattibhava	生有
upekkhā	舍
upekkhāsahagata	舍俱
utu	季节
vedanā	受
vicikicchā	疑
vicāra	伺
vijjā	[三]明
vikkhambhana	抽离
vimutta	解放
vimutti	解脱
vinipātika	堕落者
vipassanā	观
vipāka	果报
visuddhi	清净
vitakka	寻
viññāṇa	识
viññāṇañcāyatana	识无边处
voṭṭhabbana	确定
vāra	界限
vīriya	精进
vīthi	心路
vīthicitta	心识的路线
vīthimutta	离路心
ñāṇa	智
ādikammika	初犯
ākiñcaññāyatana	无所有处
ākāsānañcāyatana	空无边处
āloka	光
ānāpāna	入出息
ārammaṇa	所缘
āyatana	入处
