-in	具有……者
-vī	具有……者
Abhidhamma	阿毗达摩
Bhikkhus	诸比库
Buddha	佛陀
Catukka	四法
Lakkhaṇa	特相
Mahāṭī	大义疏
Mūlaṭīkā	根本复注
Nissaya	依词释
Paramatta	帕拉马达
Pathavī	巴踏威
Paṭiccasamuppanna	缘所生
Paṭiccasamuppāda	缘起法
Sam	相应部
Samyutta	相应部
Sotāpanna	须陀洹
Sutta	经
abhisamaya	现观
abhisaṅkhāra	积聚
abhiññāṇa	特征
abyākata	无记
adhipati	主导
adhipatipaccayena	作为增上缘
adhivacana	同义词
akusalamūla	不善根
anantara	无间
anantarapaccayo	无间缘
anantarā	紧随
anantarūpanissaya	无间亲依止
anatta	无我
anattalakkhaṇa	无我相
anicca	无常
aniṭṭhārammaṇa	不可喜所缘
anubodha	随觉
anāgāmi	不来者
anāgāmi phala	不来果
anāgāmī	不来者
apuññābhisaṅkhāra	非福行
arahant	阿拉汉
arahatta	阿拉汉
ariya	圣
ariya magga	圣道
ariya phala	圣果
ariya phala ñāṇa	圣果智
arūpa	非色
arūpino	非色蕴
asambodha	没有完全了悟
atta	我
attha	目的状语
atthi	有
atīta	过去
atīta bhava	过去世
avasesa	剩余的
avigata	不离去
avijjā	无明
avijjānusaya	无明随眠
aññamañña	相互
base	词典源型
bhava	有
bhavaṅga	有分
bhavaṅgupaccheda	有分断
bhaṅga	天然混紡
bhikkhave	诸比库
bhikkhu	比库
bhāvanāmaya	修所成
bhūmi	地
brahma	梵天神
cakkhu	眼
cakkhuviññāṇadhātu	眼识界
cakkhuviññāṇadhātuyā	眼识界
cakkhāyatana	眼处
catusacca	四个真理
cetanā	思
cetasika	心所
chanda	欲
chandādhipati	欲增上
citta	心
citta niyama	心的定律
citta saṅkhāra	心行
cittasaṅkhāra	心行
cuti	入灭
cāga	舍
dassana	洞见
devadatta	天赐
dhamma	法
dhammasaṅganī	法集论
dhammā	诸法
dhātu	界
diṭṭhi	见
dosa	瞋
duka	二分（法）
dukkha	苦
dukkha sacca	苦圣谛
dvepañcaviññāṇa	双五识
dvāra	门
dāna	布施
dānamaya	完成供养
ekatta	同一性
ghānāyatana	鼻处
hetu	因
hoti	发生
hīna	劣
indriya	根
iriyāpatha	威仪
issā	嫉妒
iti	如此
iṭṭhārammaṇa	可喜所缘
javana	速行
jhāna	禅那
jhāna vīthi	禅那速行
jivhāyatana	舌处
jīva	命
kamma	业
kammaṭṭhāna	业处
kappa	劫
kasiṇa	遍
khandha	蕴
khandhā	蕴
khaṇa	剎那
khaṇattaya	三个刹那
kho	的确
kiccaghana	作用密集
kilesa	烦恼
kilesā	染
kiriya	唯作
kukkucca	追悔
kusala	善
kusalamūla	善根
kāla	咖拉
kāmacchanda	感官之欲
kāmesumicchācāra	欲邪行
kāmāvacara	欲界
kāya	身
kāya saṅkhāra	身行
kāyasañcetanā	身思
kāyasaṅkhāra	身行
kāyasaṅkhāro	身行
kāyika dukkha	身苦
kāyika sukha	身乐
kāyāyatana	身处
lakkhaṇā	相
lobha	贪
lokiya	世间的
macchariya	悭吝
magga	道
mahākusala	大善
manasīkāra	作意
manodhātu	意界
manodvārāvajjana	意门转向
manosañcetanā	意思
manosañcetanāhāra	对食物的思欲
manoviññāṇadhātu	意识界
maraṇa	死
meditator	禅修者
middha	睡眠
mitta	弥达
moha	痴
māna	慢
mūla	根本
naya	法
nibbāna	涅槃
nidassana	比较
nidāna	来源
nikāya	部
nirodha	灭
nirutti	词源学
nāma	名
nāma kammaṭṭhāna	名业处
nāmaghana	名密集
nānatta	不同性
nānākkhaṇika	异刹那
nīvaraṇa	盖
okkantikkhaṇa	再生的剎那
opapātika	化生者
paccavekkhaṇā	省察
paccaya	缘
paccayo	缘
paccayuppanna	缘生
pacchājāta	后生
paccupanna	现在
paccuppanna	现在
padaṭṭhāna	足处
padhāna	中心词
pakata	出色执行
pakatūpanissaya	本性亲依止
pana	此外
paramattha	神我
parikamma	遍作
paritta	小
pariyāya	方便
pavatti	生命期间
payoga	精勤 / 加行
pañcadvārāvajjana	五门转向
pañcaka naya	五种法
pañcavokāra	五蕴
pañcavokārabhave	五蕴有
paññatti	概念
paññā	慧
paṭicca	缘
paṭisambhidā	辨析
paṭisandhi	结生
paṭivedha	通达
paṭṭhāna	众缘
phala	果
phala ñāṇa	果智
phassa	触
pitughātaka	杀父者
piṭaka	藏
puggala	个体
purejāta	前生
puñña	福
puññābhisaṅkhāra	福行
pāli	巴利语
pīti	喜
revata	雷瓦德
rāga	贪 / 爱染
rūpa	色
rūpāvacara	色界
sabhāva	本质
sabhāva lakkhaṇā	自性相
sacca	谛
saddhā	信
saha	同时
sahajāta	俱生
sahajātapaccayo	俱生缘
sahajātādhipati	俱生主宰
sahetuka	有因的
sakadāgāmī	一来
sakka	帝释
samanantara	等无间
samatha	止
sampajañña	正知
sampatti	成就
sampayutta	相应
sampaṭicchana	领受
samudaya	集
samāpajjana	入定
samāpatti	等至
samūha paññatti	组合概念
samūhaghana	组合密集
santati	相续
santatighana	相续密集
santīraṇa	推度
sasaṅkhārika	有行
sassata	常见
saññā	想
saṅkhata	有为
saṅkhāra	行
saṅkhārā	行
sekkha	有学
somanassa	悦
sotāyatana	耳处
sukha	乐
suta	闻
suttanta	经
sādhāraṇa	共通的
sāmañña	一般性
sāmañña lakkhaṇā	共相
sāsanā	教法
sīla	戒
taṇhā	渴爱
tika	三分（法）
uddhacca	掉举
upacaya	积聚
upakāra	资益
upakāraka	资助
upanissaya	强依止
upekkhā	舍
uposatha	伍波思特
uppajjanti	生起
uppāda	生起
upādānakkhandhā	取蕴
vacīsaṅkhāra	语行
vacīsaṅkhāro	语行
vatthu	依处
vaṭṭa	轮回
vaṭṭakathā	轮回论
vedanā	受
vibhaṅga	分别
vicikicchā	疑
vijjā	[三]明
vimutta	解放
vimutti	解脱
vipassanā	观
vipatti	失坏
vipāka	果报
virati	远离
viññatti	表
viññāṇa	识
viññāṇaṭṭhiti	识住
vodāna	净化
vohāra sacca	世俗谛
vāra	界限
vīriya	精进
vīthi	心路
yassa	名誉
yuganaddha	轭结缚
ñāṇa	智
āhāra	食
āneñjābhisaṅkhāra	不动行
ānāpāna	入出息
ārammaṇa	所缘
ārammaṇa paccaya	所缘缘
ārammaṇādhipati	所缘增上
ārammaṇūpanissaya	所缘强依止
āsava	漏
āsevana	重复
āyatana	入处
āyūhana	加行
ṭhapetvā	除了
ṭhiti	住
ṭhāna	处
ṭhānī	位置名词
