-in	具有……者
Buddha	佛陀
Dhammacakkapavattana Sutta	《转法轮经》
Mahāṭī	大义疏
Mūlaṭīkā	根本复注
Paṭiccasamuppāda	缘起法
Sutta	经
Visuddhi Magga	《清净之道》
akusala	不善
anuṭīkā	再复注
arahant	阿拉汉
ariya	圣
atta	我
avijjā	无明
avipāka	非果报
base	词典源型
bhikkhave	诸比库
bhikkhu	比库
brahma	梵天神
catusamuṭṭhānika	四种等起的
cetanā	思
cittajarūpa	心生色
cuti	入灭
deva	神
dhamma	法
dosa	瞋
dukkha	苦
dukkha sacca	苦圣谛
hetu	因
hoti	发生
jhāna	禅那
kamma	业
kammabhava	业有
kammajarūpa	业生色
kaṭattā	业所造
kusala	善
lobha	贪
magga	道
magga sacca	道谛
manodhātu	意界
manoviññāṇadhātu	意识界
manāyatana	意处
meditator	禅修者
moha	痴
māra	魔罗
nirodha	灭
nāma	名
nāmakammaṭṭhāna	名业处
nāmarūpa	名色
ojā	食素
opapātika	化生者
paccaya	缘
paccayo	缘
pacchājāta	后生
pakāra	方法
pana	此外
pariyāpanna	包含于
paṭisandhi	结生
paṭṭhāna	众缘
phalūpacāra	喻果
phassa	触
phassāhāra	触食
purejāta	前生
pāli	巴利语
rūpa	色
sacca	谛
sahajāta	俱生
samaṇa	沙门
samudaya	集
samudaya sacca	苦因圣谛
samudayasacca	集谛
samāpatti	等至
satta	有情
saṅkhāra	行
sekkha	有学
somanassa	悦
suttanta	经
suttantabhājanīya	经分别
tihetuka	三因者
uppāda	生起
vaṭṭa	轮回
vipassanā	观
vippayutta	不相应
vipāka	果报
visuddhi	清净
viññāṇa	识
vāra	界限
āhāra	食
āhāraja ojā	食生食素
āhāraja ojāṭṭhamaka	食生食素为第八的
āhārapaccaya	食缘
ārammaṇa	所缘
āyatana	入处
ṭhiti	住
