Buddha	佛陀
Hadayavatthu	心生起的物质基础
Mahāṭī	大义疏
ajjhatta	内在
ajjhattikāyatana	内处
arahant	阿拉汉
base	词典源型
bhikkhu	比库
cakkhu	眼
cakkhusamphassa	眼触
cuti	入灭
dhamma	法
dhammāyatana	法处
dhātu	界
dvāra	门
ghana	密集
ghānasamphassa	鼻触
kamma	业
kāyasamphassa	身触
mahāvihāra	大寺
manosamphassa	意触
meditator	禅修者
naya	法
nibbāna	涅槃
nāma	名
nāmakammaṭṭhāna	名业处
ojā	食素
paṭisandhi	结生
phassa	触
pāli	巴利语
rasāyatana	味处
rūpa	色
rūpāyatana	色处
saddāyatana	声处
santāna	相续流
sotasamphassa	耳触
tejo	火
tādi	如如不动者
utuja ojā	时节生食素
vatthu	依处
vatthurūpa	依处色
āhāra	食
āhāraja ojā	食生食素
āyatana	入处
