Abhidhamma	阿毗达摩
Buddha	佛陀
Mahāṭī	大义疏
Mūlaṭīkā	根本复注
Nissaya	依词释
Sam	相应部
anantarūpanissaya	无间亲依止
anupādinna	无执取的
bahiddhā	外
base	词典源型
bhaṅga	天然混紡
bhikkhu	比库
bhāva	有
cakkhu	眼
cakkhusamphassa	眼触
cuti	入灭
dassana	洞见
dhamma	法
dhātu	界
ghānasamphassa	鼻触
hasituppāda	生笑
javana	速行
kamma	业
kathā	论
kāyasamphassa	身触
manosamphassa	意触
manoviññāṇa	意识
meditator	禅修者
nibbāna	涅槃
nāmakammaṭṭhāna	名业处
paccaya	缘
paccayuppanna	缘生
pakatūpanissaya	本性亲依止
pana	此外
pariyāya	方便
paṭisandhi	结生
paṭṭhāna	众缘
phassa	触
pāli	巴利语
sahajāta	俱生
samanantara	等无间
sammohavinodanī	迷惑冰消
sotasamphassa	耳触
suttanta	经
sāriputta	沙利子
upādinna	执取的
upādiṇṇa	已取
vedanā	受
vibhaṅga	分别
vipassanā	观
ārammaṇūpanissaya	所缘强依止
