-in	具有……者
-ka	具有……者
Abhidhamma	阿毗达摩
Attā	我
Buddha	佛陀
Mahāṭī	大义疏
Mama	我的
Paramatta	帕拉马达
Sutta	经
ahetuka	无因
ahirika	无惭
akiriya	未做
anatta	无我
anicca	无常
anottappa	无愧
anusaya	潜伏
anusaya kilesa	随眠烦恼
appicchatā	少欲
arahant	阿拉汉
atta	我
attavādupādāna	我语取
base	词典源型
bhava	有
bhavataṇhā	有爱
bhaṅga	天然混紡
bhikkhu	比库
bhāvanā	修习
brahma	梵天神
cakkhu	眼
cakkhu pasāda	眼净色
cakkhusamphassa	眼触
chanda	欲
citta	心
deva	神
dhamma	法
diṭṭhi	见
diṭṭhupādāna	见取
dosa	瞋
dukkha	苦
dīghanikāya	长部
ekaggatā	一境性
gandhataṇhā	喜爱香气
issā	嫉妒
jhāna	禅那
jīva	命
jīva atta	命我
kamma	业
kasiṇa	遍
kilesa	烦恼
kukkucca	追悔
kāma	欲
kāmataṇhā	欲爱
kāmupādāna	欲取
kāmāvacara	欲界
kāraka	施动者
lobha	贪
loka	世间
macchariya	悭吝
magga	道
mahākaccāna	马哈咖吒那
majjhima	中
manosamphassa	意触
maṇi	摩尼
meditator	禅修者
micchādiṭṭhi	邪见
middha	睡眠
moha	痴
māna	慢
nibbāna	涅槃
nidassananaya	显示法
nāma	名
paccaya	缘
pakatūpanissaya	本性亲依止
parama atta	最高我
parikamma	遍作
pasāda	纯净
pathavīdhātu	地界
paññatti	概念
phala	果
phassa	触
phoṭṭhabbataṇhā	喜爱触觉
puppha	布帕
pāli	巴利语
pīti	喜
rasataṇhā	喜爱味道
rāga	贪 / 爱染
rūpa	色
rūpakkhandha	色蕴
rūpasañcetanā	色思
rūpataṇhā	喜爱物质
saddataṇhā	喜爱声音
sakkāya	有身（见）
sakkāya diṭṭhi	有身见
samanupassati	随意观察
samatha	止
sammohavinodanī	迷惑冰消
samāpatti	等至
saññā	想
saññāya	想的
sotasamphassa	耳触
sāmī	主人
sīlabbatupādāna	戒禁取
sīlavisuddhi	戒清净
taṇhā	渴爱
uccheda	断灭
uddhacca	掉举
upanissaya	强依止
uppāda	生起
upādāna	取
vatthu	依处
vaṇṇa	色
vedaka	受者
vedanā	受
vedanāya	受的
vibhava	无有
vibhavataṇhā	无有爱
vibhaṅga	分别
vicikicchā	疑
vicāra	伺
vipassanā	观
viriya	精进
visuddhi	清净
vitakka	寻
vāda	辩论
ārammaṇa	所缘
ārammaṇa paccaya	所缘缘
ṭhiti	住
