-in	具有……者
Abhidhammatthasaṅgaha	摄阿毗达摩义论
Bhikkhus	诸比库
Buddha	佛陀
Catukka	四法
Lakkhaṇa	特相
Mahāṭī	大义疏
Mahāṭīka	《大疏钞》
Nissaya	依词释
Paṭiccasamuppāda	缘起法
Sam	相应部
Sutta	经
Visuddhi Magga	《清净之道》
adhipati	主导
ahetuka	无因
anantara	无间
anantarūpanissaya	无间亲依止
anicca	无常
aniccatā	无常性
anuloma	随顺
anuppāda	无生
anuṭīkā	再复注
arahant	阿拉汉
atta	我
attha	目的状语
atīte	过去
avigata	不离去
avijjā	无明
aññamañña	相互
aṅga	支
aṭṭhi	骨
bala	力
base	词典源型
bhava	有
bheda	崩坏
bhikkhave	诸比库
bhikkhu	比库
brahma	梵天神
brahmacariya	梵行
cakkhusamphassa	眼触
carita	性行
cetanā	思
cetasika	心所
citta	心
desanā	开示
deva	神
devī	皇后
dhamma	法
dhammapaṭisambhida	法无碍解
dhammasaṅganī	法集论
dhanañjānī	塔娜迦尼
diṭṭhi	见
diṭṭhikantāra	主见的险恶
domanassa	忧
dukkha	苦
ekaggatā	一境性
ekanirodha	一起灭去
ekattanaya	同一性理
ekuppāda	同生
gambhīra	深邃
gatinimitta	趣相
ghanasaññā	密集想
gotama	果德玛
hasituppāda	生笑
hetu	因
hoti	发生
indriya	根
jarā	老
jarāmaraṇa	老死
javana	速行
jhāna	禅那
jāti	生
jīva	命
jīva atta	命我
jīvitindriya	命根
kamma	业
kamma nimitta	业相
kammabhava	业有
kammavaṭṭa	业轮转
khantī	忍耐
khemā	柯玛
kicca	作用
kilesa	烦恼
kiriyā	唯作
koṇāgamana	果那嘎玛那
kusalākusala	善不善
kāla	咖拉
kāraka	施动者
kāya	身
loka	世间
magga	道
maggaṅga	道支
maggaṅgāni	道支
manindriya	意根
manodvārāvajjana	意门转向
manāyatana	意处
maraṇa	死
meditator	禅修者
micchāpaṭipatti	邪行道
māyā	诳
mūla	根本
namana lakkhaṇa	朝向相
naya	法
nibbāna	涅槃
niddesa	广释
nijjīva	非生命的
nimitta	相
nirodha	灭
nāma	名
nāmarūpa	名色
nānattanaya	不同性理
nānākkhaṇika	异刹那
ojaṭṭhamaka	食素为第八的
opapātika	化生者
pabhavo	来源
paccaya	缘
paccaya satti	缘力
paccayo	缘
paccayākāra	缘行相
pacchājāta	后生
paccupaṭṭhāna	现起
pakatūpanissaya	本性亲依止
pana	此外
paramattha	神我
parideva	悲
pariggaha	摄受
pariññā	遍知
pavatti	生命期间
pañcakkhandha	五蕴
paññatti	概念
paññā	慧
paṭicca	缘
paṭisambhida	无碍解
paṭisandhi	结生
paṭṭhāna	众缘
phala	果
phassa	触
phusana	碰触
phusana lakkhaṇa	触相
purejāta	前生
pāli	巴利语
rasa	作用
rūpa	色
sabbaññutañāṇa	一切知智
sabhāva	本质
sacca	谛
sahajāta	俱生
sakka	帝释
salakkhaṇa	自己的特性
samanantara	等无间
samatha	止
sampayutta	相应
samudaya	集
samudaya sacca	苦因圣谛
samuppāda	集起
samādhindriya	定根
santati	相续
sarasa	本质
sassata	常见
saṅkhāra	行
soka	愁
somanassa	悦
sukha	乐
suttanta	经
sāsana	教育
taṇhā	渴爱
therī	长老尼
tihetuka	三因者
uccheda	断灭
udaka	伍达格
upacaya	积聚
upanissaya	强依止
upapattibhava	生有
upaṭṭhānākāra	现起的行相
upekkhindriya	舍受根
uppāda	生起
upādāna	取
upādānakkhandhā	取蕴
upādārūpa	所造色
upāyāsa	恼
vatthu	依处
vatthārammaṇa	事物所缘
vaṭṭa	轮回
vaṭṭakathā	轮回论
vedaka	受者
vedanā	受
vicikiccha	疑
vicikicchā	疑
vinicchaya	判别
vipassanā	观
vippayutta	不相应
vipāka	果报
vipākabhava	果报有
visuddhi	清净
vitakka	寻
viññāṇa	识
vīriya	精进
vīthimutta	离路心
ñāta	所知
ñātapariññā	智遍知
ñāṇa	智
Āhāra Sutta	食经
āhāra	食
āneñjābhisaṅkhāra	不动行
ārammaṇa	所缘
ārammaṇādhipati	所缘增上
ārammaṇūpanissaya	所缘强依止
āsevana	重复
āyatana	入处
ṭhiti	住
