Buddha	佛陀
Nissaya	依词释
adhipati	主导
ahetuka	无因
akusalavipāka	不善果报
anantara	无间
anuloma	随顺
arahant	阿拉汉
asaññasatta	无想有情天
atthi	有
avigata	不离去
aññamañña	相互
base	词典源型
bhava	有
bhaṅga	天然混紡
bhikkhu	比库
cetanā	思
citta	心
cittajaojā	心生食素
cittajarūpa	心生色
dhamma	法
dosamūla	嗔根
dvihetuka	二因的
ekaggatā	一境性
gati	趣
gatinimitta	趣相
hetu	因
indriya	根
javana	速行
jhāna	禅那
jīvitindriya	命根
kamma	业
kamma nimitta	业相
kammajaojā	业生食素
kammaṭṭhāna	业处
kasiṇa	遍
kiriya	唯作
kiriyā	唯作
kusala	善
kusalavipāka	善果报
kāma	欲
lobha	贪
lobhamūla	贪根
magga	道
mahaggata	广大
mahākusala	大善
mahāvipāka	大果报
manodvāra	意门
meditator	禅修者
metta	友谊
mettā	慈爱
muditā	喜
nibbāna	涅槃
nimitta	相
nāma	名
nāma kammaṭṭhāna	名业处
nāmakammaṭṭhāna	名业处
nānākkhaṇika	异刹那
nānākkhaṇikakamma	异刹那业
ojā	食素
paccaya	缘
pacchājāta	后生
pakatūpanissaya	本性亲依止
pariggaha	摄受
parikamma	遍作
pañcadvārāvajjana	五门转向
pañcaviññāṇa	五识
paññā	慧
paṭisandhi	结生
purejāta	前生
pīti	喜
rūpa	色
rūpajīvitindriya	色命根
rūpakkhandha	色蕴
sahajāta	俱生
sahetuka	有因的
samanantara	等无间
samatha	止
sammādiṭṭhi	正见
sammāsamādhi	正定
sammāsati	正念
sammāsaṅkappa	正思惟
sampayutta	相应
samāpatti	等至
santīraṇa	推度
sasaṅkhārika	有行
saññā	想
somanassa	悦
sukha	乐
sāsanā	教法
tadārammaṇa	彼所缘
tihetuka	三因者
uddhacca	掉举
upacāra	近行
upanissaya	强依止
upekkhā	舍
upekkhāsahagata	舍俱
uppāda	生起
vatthu	依处
vicāra	伺
vippayutta	不相应
vipāka	果报
virati	远离
vitakka	寻
vīthi	心路
ñāṇa	智
ādikammika	初犯
āhāra	食
āhāraja ojā	食生食素
ākiñcaññāyatana	无所有处
ānāpānassati	入出息念
ārammaṇa	所缘
āsevana	重复
ṭhiti	住
