Anattalakkhaṇa Sutta	《无我相经》
Buddha	佛陀
Lakkhaṇa	特相
Mahā	大
Mahāṭī	大义疏
Nissaya	依词释
Paṭisambhidā magga	无碍解道
Sam	相应部
Samyutta	相应部
Sotāpanna	须陀洹
Susima	苏西玛
Sutta	经
Thera	长老
Visuddhimagga	《清净道论》
abhisaṅkhāra	积聚
ahetuvāda	无因论
anantara	无间
anatta	无我
anattalakkhaṇa	无我相
anicca	无常
aniccatā	无常性
arahant	阿拉汉
ariya	圣
ariya magga	圣道
ariyaphala	圣果
asammoha	无痴
asammoha sampajañña	无痴正知
assāsa	入息
atta	我
atthi	有
avigata	不离去
aññamañña	相互
aṭisambhidā Magga	《无碍解道》
base	词典源型
bhante	尊者
bhavagga	有顶天
bhikkhu	比库
brahma	梵天神
catusacca	四个真理
cetanā	思
cuti	入灭
cuticitta	死心
dassana	洞见
desanā	开示
dhamma	法
dhammaṭṭhitiñāṇa	法住智
diṭṭhi	见
diṭṭhivisuddhi	见清净
dukkha	苦
dukkha sacca	苦圣谛
dukkhasacca	苦谛
ekaggatā	一境性
gati	趣
gatinimitta	趣相
ghanasaññā	密集想
hetu	因
hetupaccaya	因缘
indriya	根
iriyāpatha	威仪
issara	主宰者
javana	速行
jhāna	禅那
kamma	业
kammajarūpa	业生色
kammanimitta	业相
karaṇa	造作
karuṇā	悲悯
kasiṇa	遍
kho	的确
kilesa	烦恼
kusala	善
kāma	欲
magga	道
magga sacca	道谛
manodhātu	意界
meditator	禅修者
mettā	慈爱
muditā	喜
nibbāna	涅槃
niddesa	广释
nidāna	来源
nimitta	相
nirodha	灭
nānākkhaṇika	异刹那
nānākkhaṇikakamma	异刹那业
pabbata	山岳
paccaya	缘
paccaya pariggaha	缘摄受
paccayākāra	缘行相
pakatūpanissaya	本性亲依止
pariggaha	摄受
pariyāya	方便
pariññā	遍知
pavatta	生命期间
paññā	慧
paṭisambhidā	辨析
paṭisandhi	结生
paṭṭhāna	众缘
puggala	个体
purejāta	前生
pāli	巴利语
sabhāva	本质
sacca	谛
saddhammassavana	听闻正法
sahajāta	俱生
sahajātapaccaya	俱生缘
samanantara	等无间
samatha	止
sammā	正
sammādassana	正观
sampajañña	正知
sampayutta	相应
samudaya	集
samudaya sacca	苦因圣谛
samudayasacca	集谛
samāpatti	等至
santati	相续
sassata	常见
saṅkhāra	行
saṅkhāranimitta	现象灭去
somanassa	悦
suddha vipassanā	纯观
suddha vipassanā yānika	纯观乘者
sukha	乐
tihetuka	三因者
uccheda	断灭
upanissaya	强依止
upekkhā	舍
uppāda	生起
upādinnakkhandha	取蕴
upādānakkhandhā	取蕴
vatthu	依处
vicikicchā	疑
vikkhambhana	抽离
vimutta	解放
vinipāta	堕处
vipassanā	观
vippayutta	不相应
vipāka	果报
virati	远离
visamahetu	错因论
visuddhi	清净
viññāṇa	识
vāda	辩论
ñātapariññā	智遍知
ñāṇa	智
Ānanda	阿难德
āhāra	食
ānāpānassati	入出息念
ārammaṇa	所缘
āsava	漏
ṭhiti	住
