Abhidhamma	阿毗达摩
Attā	我
Buddha	佛陀
Mahā	大
Samyutta	相应部
Sotāpanna	须陀洹
Sutta	经
Thera	长老
Vinaya	律
Visākhā	维沙卡
ahetuka	无因
akiriya	未做
anicca	无常
anuruddha	阿努儒达
apadāna	伟人传记
arahat	阿拉汉
arahatta	阿拉汉
ariya	圣
asubha	不净
atta	我
avijjā	无明
avīci	无间地狱
bhaddā	善贤
bhikkhu	比库
bhāvanā	修习
dhamma	法
dhammika	如法
dukkha	苦
dīpaṅkara	燃灯（佛）
geyya	应颂
gotama	果德玛
gāthā	偈颂
iti	如此
javana	速行
jhāna	禅那
jātaka	本生
jīvitindriya	命根
kamma	业
kammassakatā	业自性
khemā	柯玛
kosala	考瑟勒
kāsi	卡西
lobha	贪
magga	道
mahākassapa	马哈咖沙巴
mettā	慈爱
micchā	错误
moggallāna	摩嘎喇那
māna	慢
māyā	诳
nibbāna	涅槃
nicca	常
nikāya	部
nipāta	不变化词
niyata	决定
nālaka	纳拉咖
paccaya	缘
padumuttara	胜莲
parinibbāna	般涅槃
pariyatti	教理
paññā	慧
puggala	个体
pāli	巴利语
rasa	作用
ratana	动张
rāga	贪 / 爱染
rāhula	拉胡勒
sakka	帝释
samatha	止
sammā	正
samuppāda	集起
samādhi	定
sañjaya	山吒亚
sotāpatti	入流
sukha	乐
sumedha	善慧
susumāra	鳄鱼
suttanipāta	《经集》
suttanta	经
sāla	娑罗
sāriputta	沙利子
sāsana	教育
sīla	戒
theragāthā	长老偈
therī	长老尼
tissa	帝思
uccheda	断灭
udāna	《感慨》
udāyī	伍达夷
upanissaya	强依止
upādāna	取
upāli	伍巴离
uttarā	伍塔拉
vedalla	智得
vipassanā	观
yasodharā	亚寿塔拉
Ānanda	阿难德
