Attā	我
Buddha	佛陀
Mahā	大
Sam	相应部
Sutta	经
arahat	阿拉汉
arahatta	阿拉汉
atta	我
base	词典源型
bodhi	菩提
brahma	梵天神
channa	阐那
devadatta	天赐
dhamma	法
dhammapāla	法护
dosa	瞋
dukkha	苦
dukkhasacca	苦谛
etadagga	第一
gotama	果德玛
gotamaka	果德玛
gotta	姓氏
jetavana	祇陀林 / 揭德林
jhāna	禅那
jātaka	本生
kaccāna	咖吒那
kalābu	咖喇部
kamma	业
khanti	忍耐
khemā	柯玛
kicca	作用
kodha	忿怒
kālī	咖莉
lobha	贪
magga	道
māna	慢
mānā	慢
mūla	根本
nandiya	难帝亚
nibbāna	涅槃
nipāta	不变化词
nirodha	灭
paccaya	缘
pahāna	舍断
parinibbāna	般涅槃
pariyatti	教理
pariyāya	方便
paññā	慧
phagguna	帕古纳
pāla	护
rasa	作用
sabba	所有
sacca	谛
sammā	正
sampatti	成就
sampattirasa	效果影响
samudaya	集
samādhi	定
subhaddā	善贤
sāriputta	沙利子
sāsana	教育
sāvatthi	沙瓦提
sīla	戒
upanissaya	强依止
utu	季节
vatthu	依处
vedehikā	韦迭希咖
vipāka	果报
viriya	精进
visuddhi	清净
yasodharā	亚寿塔拉
ñāta	所知
Ānanda	阿难德
āghāta	残忍
āghātavatthu	结怨事
āhāra	食
