Bhaddiya	贤善
Bhikkhus	诸比库
Buddha	佛陀
Mahā	大
Rūpakammaṭṭhāna	色业处
Sam	相应部
Sutta	经
Tathāgata	如来
Vedanānupassanā	受随观
Visuddhi Magga	《清净之道》
adhigama	证悟
anatta	无我
anicca	无常
anupassanā	随观
anupiya	阿努比亚
anupādisesa	无五蕴剩余
anuruddha	阿努儒达
arahant	阿拉汉
aṭṭhasamāpatti	八定
base	词典源型
bhagu	帕古
bhante	尊者
bhikkhave	诸比库
bhikkhu	比库
cakkhu	眼
citta	心
cittavisuddhi	心清净
cittaviveka	心远离
dassana	洞见
devadatta	天赐
dhamma	法
dhātu	界
dukkha	苦
dukkhakkhaya	苦灭
dukkhasacca	苦谛
kammajarūpa	业生色
kapilavatthu	咖毕拉瓦图
kasiṇa	遍
kimila	金弥拉
kāya	身
kāyaviveka	身远离
lokiya	世间的
lokuttara	出世间
magga	道
mahāpurisa	大士
meditator	禅修者
nibbāna	涅槃
nirodha	灭
nāmakammaṭṭhāna	名业处
pabbata	山岳
paccaya	缘
pahāna	舍断
pajānāti	了知
papañca	(轮回的)增生
pariyatti	教理
paññā	慧
paṭipadā	行道
puggala	个体
pāli	巴利语
rājagaha	王舍城
rūpa	色
sacca	谛
samatha	止
sammā	正
samuccheda	正断
samuccheda pahāna	正断断
samudaya	集
samādhi	定
samāpatti	等至
sati	念
saññā	想
saṅkhāra	行
susumāragiri	鳄山城
sāriputta	沙利子
udayabbaya	生灭
upadhiviveka	依著远离
upāli	伍巴离
vassa	雨安居
vedanā	受
vikkhambhana	抽离
vipassanā	观
visuddhi	清净
vitakka	寻
viveka	远离
viññāṇa	识
Ānanda	阿难德
ānāpānassati	入出息念
āvuso	朋友
