-in	具有……者
-ka	具有……者
Abhidhamma	阿毗达摩
Anattalakkhaṇa Sutta	《无我相经》
Attā	我
Bhikkhus	诸比库
Buddha	佛陀
Lakkhaṇa	特相
Mahā	大
Mahāṭī	大义疏
Mama	我的
Patisam	无碍解道
Paṭisambhidā magga	无碍解道
Rūpakammaṭṭhāna	色业处
Sam	相应部
Sotāpanna	须陀洹
Sutta	经
Visuddhi Magga	《清净之道》
abhisaṅkhāra	积聚
abhāva	不存在
adhipaññā	增上慧
anatta	无我
anattalakkhaṇa	无我相
anattānupassanā	无我随观
anattānupassanā ñāṇa	无我随观智
anicca	无常
aniccatā	无常性
aniccānupassanā	随观无常
aniccānupassanā ñāṇa	无常随观智
animitta	无相
anupassanā	随观
anupassanā ñāṇa	随观智
anuppāda	无生
anuppādanirodha	不生灭尽
anusaya	潜伏
anusaya dhātu	随眠界
anāgāmī	不来者
appaṇihita	无愿
apuññābhisaṅkhāra	非福行
arahant	阿拉汉
ariya	圣
ariya magga	圣道
ariya phala	圣果
arūpa pariggaha	非色摄受
arūpāvacara	无色界
atta	我
attabhāva	自体
avijjā	无明
aññamañña	相互
aññathatta	住
aṭisambhidā Magga	《无碍解道》
base	词典源型
bhava	有
bhavo	有
bhikkhu	比库
bhāva	有
bhūtā	大种
brahma	梵天神
cakkhu	眼
cetanā	思
citta	心
cittajarūpa	心生色
cuti	入灭
dassana	洞见
dhamma	法
dhammapada	《法句》
dhammā	诸法
dhātu	界
diṭṭhigata	主见的偏颇
dukkha	苦
dukkha sacca	苦圣谛
dukkhānupassanā	苦随观
dukkhānupassanā ñāṇa	苦随观智
ekatta	同一性
gatinimitta	趣相
ghanasaññā	密集想
gāha	执
hadaya vatthu	心所依处色
hetu	因
hoti	发生
issara	主宰者
jaratā	老性
jāti	生
kamma	业
kamma nimitta	业相
kammabhava	业有
kathā	论
khandha	蕴
khaṇa	剎那
khaṇattaya	三个刹那
kiriya	唯作
kusala	善
kāla	咖拉
kāraka	施动者
lakkhaṇā	相
magga	道
mahāṭīkā	大复注
meditator	禅修者
meghiya	美奇亚
naya	法
netti	导论
nibbatti	转生
nibbidā	倦离
nibbidānupassanā	厌离随观
nibbāna	涅槃
nicca	常
niddesa	广释
nidāna	来源
nimitta	相
nippariyāya	究竟法
nirodha	灭
nirodhānupassanā	灭尽随观
nāmakammaṭṭhāna	名业处
nāmarūpa	名色
paccaya	缘
paccayasatti	缘力
paccupanna	现在
paccuppanna	现在
paramattha	神我
paramattha sacca	究竟谛
pariccāgapaṭinissagga	遍舍舍
pariggaha	摄受
parinibbāna	般涅槃
pariyāya	方便
pariññā	遍知
pavatti	生命期间
pañcadvārāvajjana	五门转向
paññā	慧
paṇidhi	愿
paṭinissaggānupassanā	定弃观
paṭisambhidā	辨析
paṭisandhi	结生
paṭisaṅkhānupassanā	省察随观
phala	果
phassa	触
puññābhisaṅkhāra	福行
pāli	巴利语
rāga	贪 / 爱染
rūpa	色
rūpa pariggaha	色摄受
rūpāvacara	色界
sabhāva	本质
sacca	谛
sakadāgāmī	一来
samatha	止
sammasana	思惟
sammasana ñāṇa	思惟智
sampayutta	相应
samuccheda	正断
samudaya	集
samudayasacca	集谛
samuppāda	集起
samyojana	结缚
santati	相续
santīraṇa	推度
sappaccaya	有缘
sasambhāra	含有成分
saññā	想
saṅkhāra	行
saṅkhāra dhamma	行法
saṅkhāra nimitta	行相
somanassa	悦
sukha	乐
suttanta	经
suññatānupassanā	空频观
tadārammaṇa	彼所缘
taṇhā	渴爱
tejo	火
udayabbaya	生灭
udayabbaya ñāṇa	生灭智
udayabbayānupassanā	生灭随观
udayabbayānupassanā ñāṇa	生灭随观智
udāna	《感慨》
upacaya	积聚
upakkilesa	随烦恼
upanissaya	强依止
upapattibhava	生有
uppāda	生起
upāda	所造
upādāna	取
upādānakkhandhā	取蕴
vatthu	依处
vaya	灭
vedaka	受者
vedanā	受
vikkhambhana	抽离
vipassanā	观
vipāka	果报
virāgānupassanā	离欲随观
visuddhi	清净
viññāṇa	识
vāyo	风
vīthimutta	离路心
yathābhūta	如实
ñāṇa	智
ñāṇadassana	智见
ādīnavānupassanā	过患频观
āneñjābhisaṅkhāra	不动行
āpo	水
āyūhana	加行
ṭhiti	住
