-in	具有……者
Attā	我
Bhikkhus	诸比库
Buddha	佛陀
Cittānupassanā	心随观
Dhammānupassanā	法随观
Khuddikā pīti	小喜
Lakkhaṇa	特相
Mahā	大
Mahāṭī	大义疏
Mahāṭīka	《大疏钞》
Mama	我的
Okkantikā pīti	继起喜
Paṭiccasamuppanna	缘所生
Paṭisambhidā magga	无碍解道
Rūpakammaṭṭhāna	色业处
Sam	相应部
Samatha yānika	止行者
Samyutta	相应部
Sutta	经
Thera	长老
Vedanānupassanā	受随观
Visuddhi Magga	《清净之道》
abhiññāṇa	特征
abhāva	不存在
accantanirodha	究竟灭尽
adhimokkha	胜解
adhimāna	高估
anatta	无我
anatta lakkhaṇa	无我相
anicca	无常
anicca lakkhaṇa	无常相
aniccalakkhaṇa	无常相
aniccānupassanā	随观无常
anuloma	随顺
anupassanā	随观
anupassanā ñāṇa	随观智
anuppāda	无生
anuppādanirodha	不生灭尽
arahant	阿拉汉
arūpa	非色
asekkha	无学
atta	我
attadiṭṭhi	我见
aññamañña	相互
aññathatta	住
aṭisambhidā Magga	《无碍解道》
base	词典源型
bhava	有
bhavarāga	有上的爱染
bhaya	畏惧
bhaṅga	天然混紡
bheda	崩坏
bhikkhu	比库
bhāva	有
catusamuṭṭhānikarūpa	四(因)所起色
cetanā	思
citta	心
cittaja ojaṭṭhamaka rūpa	心生以食素为第八的法聚
cittapassaddhi	心轻安
cittassa	心
dassana	洞见
dhamma	法
dhammadinna	法授
diṭṭha	见
diṭṭhi	见
diṭṭhivisuddhi	见清净
dukkha	苦
dukkha lakkhaṇa	苦相
dukkha sacca	苦圣谛
ghana	密集
gāha	执
hoti	发生
iriyāpatha	威仪
jarā	老
javana	速行
jāti	生
kalāpa	色聚
kalāpasammasana	聚思惟
kamma	业
kammajarūpa	业生色
kammaññatā	适业性
khaya	尽
khaṇa	剎那
khaṇapaccuppanna	刹那现在
khaṇikanirodha	刹那灭
khaṇikā pīti	刹那喜
kicca	作用
kusala	善
kāma	欲
kāmarāga	染污的感官之乐
kāya	身
kāyapassaddhi	身轻安
kāyānupassanā	身随观
lahutā	轻快性
lakkhaṇā	相
loka	世间
lokiya	世间的
magga	道
magga sacca	道谛
magga ñāṇa	道智
mahādatta	大赐
mahānāga	大龙
manasikāra	作意
maraṇa	死
meditator	禅修者
middha	睡眠
mudutā	柔软性
māna	慢
naya	法
nibbatti	转生
nibbāna	涅槃
nicca	常
nikanti	微细的欲求
nimitta	相
nirodha	灭
nāmakammaṭṭhāna	名业处
nāmarūpa	名色
nānākkhaṇika	异刹那
nīvaraṇa	盖
obhāsa	光明
ojaṭṭhamaka	食素为第八的
ojaṭṭhamaka rūpa	食素为第八法的色
paccaya	缘
paccupaṭṭhāna	现起
padhāna	中心词
padhāna naya	象征法
paggaha	支持
paguṇa	熟练
pahāna	舍断
pariccheda	节
parikamma	遍作
pariyatti	教理
passaddhi	轻安 / 平静
pavatta	生命期间
pavatti	生命期间
paññatti	概念
paṭicca	缘
paṭiccasamuppanna dhamma	缘生法
paṭipatti	行道
paṭisambhidā	辨析
phalūpacāra	喻果
phassa	触
pāli	巴利语
pīti	喜
rupakammaṭṭhāna	色业处
rūpa	色
rūpārammaṇa	色所缘
sabba	所有
sacca	谛
saddhā	信
saddhādhimokkha	信心胜解
sahajāta	俱生
sakka	帝释
sakkāya	有身（见）
sakkāya diṭṭhi	有身见
samatha	止
sammā	正
sampajañña	正知
samudaya	集
samudaya sacca	苦因圣谛
samūhaghana	组合密集
santati	相续
santati paññatti	相续概念
santatighana	相续密集
sasantatipatita utusamuṭṭhāna	内在相续的时节转起
sati	念
satipaṭṭhāna	念处
saññā	想
saṅkhata	有为
saṅkhāra	行
saṅkhāra nimitta	行相
saṅkhārupekkhāñāṇa	行舍智
sekkha	有学
sukha	乐
sādhāraṇa	共通的
sārammaṇa	有所缘
sārammaṇa dhamma	有所缘法
tadārammaṇa	彼所缘
thina	心力不足
ubbegā pīti	踊跃喜
uccavālika	高沙
udayabbaya	生灭
udayabbaya ñāṇa	生灭智
udayabbayañāṇa	生灭智
uddhacca	掉举
upakkilesa	随烦恼
upanissaya	强依止
upaṭṭhāna	建立
upekkhā	舍
uppāda	生起
upāda	所造
upādinna	执取的
upādānakkhandhā	取蕴
utu	季节
utuja ojaṭṭhamaka	时节生食素为第八的
utusamuṭṭhāna	时节转起
vata	仪式
vatthu	依处
vaya	灭
vaya ñāṇa	灭智
vedanā	受
vijānana	识别
vipassaka	修观
vipassanobhāsa	观智之光
vipassanupekkhā	观舍
vipassanā	观
vipassanā pīti	观喜
vipassanā sukha	观乐
vipāka	果报
vipākavaṭṭa	果报轮转
virāga	离染
visesa	特征
visuddhi	清净
viññāṇa	识
vīriya	精进
vīthimutta	离路心
ñāta	所知
ñāṇa	智
ñāṇadassana	智见
ādittapariyāya	《燃烧法门[经]》
ādāna	偷盗
ārammaṇa	所缘
ārammaṇa dhamma	无所缘法
āvajjanupekkhā	转向舍
āvuso	朋友
āyatana	入处
ṭhiti	住
