-in	具有……者
Abhidhamma	阿毗达摩
Anguttara	增支部
Assaji	阿沙基
Bhikkhus	诸比库
Buddha	佛陀
Cittānupassanā	心随观
Dhammānupassanā	法随观
Mahā	大
Mahāṭī	大义疏
Sam	相应部
Sammāpaṭipatti	正当行道
Sutta	经
Thera	长老
Vedanānupassanā	受随观
Vinaya	律
Visuddhi Magga	《清净之道》
abhinivesa	黏着
acc	宾格
adhipati	主导
aggasāvaka	上首弟子
ajjhatta	内在
amata	不死
anatta	无我
anattānupassanā	无我随观
anicca	无常
aniccatā	无常性
aniccānupassanā	随观无常
animitta	无相
animittavipassanā	无相观
anuloma	随顺
anulomañāṇa	随顺智
anupādinna	无执取的
apāyabhūmi	恶趣地
arahant	阿拉汉
ariya	圣
ariya magga	圣道
ariya phala	圣果
ariyamagga	圣道
ariyaphala	圣果
atta	我
avijjā	无明
aṭṭha samāpatti	八定
aṭṭhasālinī	胜义分明
bahiddha	外在
bhavo	有
bhaya	畏惧
bhikkhave	诸比库
bhikkhu	比库
bhāvanā	修习
bhūmi	地
bojjhaṅga	觉支
brahma	梵天神
citta	心
cittapayoga	心的加行
cūlanāga	小龙
dhamma	法
dhammavinaya	法与律
dhammā	诸法
dhura	责任
diṭṭhippatta	得见者
diṭṭhivisuddhi	见清净
dukkha	苦
dukkhānupassanā	苦随观
ekaggatā	一境性
ekatta	同一性
ekattanaya	同一性理
geyya	应颂
gotrabhuñāṇa	种姓智
gāthā	偈颂
hetu	因
hetuppabhavā	从因缘所生的
hoti	发生
itivuttaka	如是说
janaka	生
javana	速行
jhāna	禅那
jhānaṅga	禅支
jātaka	本生
kalāpasammasana	聚思惟
kamma	业
kamma-formation	业行
kiñci	任何
kāmāvacara	欲界
kāra	字
kāya	身
kāyagatāsati	身至念
kāyasakkhī	身证者
kāyānupassanā	身随观
lobha	贪
magadha	马嘎塔
magga	道
maggabhāvanā	道的修习
maggavīthi	道心路
maggāgamana	道来由
mahaggata	广大
mahādatta	大赐
mahākusala	大善
mahāsāvaka	大弟子
mahāṭīkā	大复注
majjhima	中
manodvārāvajjana	意门转向
meditator	禅修者
moggallāna	摩嘎喇那
muñcitukamyatā	欲解脱
māyā	诳
mūla	根本
naya	法
neyya	可引导者
nibbāna	涅槃
nicca	常
nidassana	比较
nikanti	微细的欲求
nikāya	部
nimitta	相
nippariyāya	究竟法
nirodha	灭
nāga	象
nāmakāya	名身
obhāsa	光明
paccaya	缘
paccaya pariggaha	缘摄受
paccayapariggaha	缘摄受
paccupaṭṭhāna	现起
padaṭṭhāna	足处
pahānapariññā	断遍知
pakatūpanissaya	本性亲依止
pariggaha	摄受
parikamma	遍作
paritta	小
pariññeyya	应遍知的
pasanna	敬信
passaddhi	轻安 / 平静
pavatta	生命期间
payoga	精勤 / 加行
paññatti	概念
paññindriya	慧根
paññāvimutta	慧解脱
paṭipadā	行道
paṭisandhi	结生
paṭisaṅkhā	审查
paṭivedha	通达
phala	果
phalūpacāra	喻果
pubbabhāga	前分
puggala	个体
puggalajjhāsaya	众生意乐
pādaka	基础
pāli	巴利语
pīti	喜
pītisambojjhaṅga	喜觉支
rasa	作用
rūpakāya	色身
rūpapariggaha	色摄受
saddhādhimokkha	信心胜解
saddhānusārī	随信行
saddhāvimutta	信解脱
samatha	止
samathayānika	以止为乘者
sammā	正
sammāsati	正念
sampayutta	相应
samuccheda	正断
samudaya	集
samādhindriya	定根
samāpatti	等至
sarasa	本质
sassata	常见
satipaṭṭhāna	念处
satta	有情
saṅkhāra	行
saṅkhāra nimitta	行相
saṅkhārupekkhā	行舍
saṅkhārā	行
sekkha	有学
somanassa	悦
somanassasahagata	悦俱
suddha vipassanā	纯观
sukha	乐
sukkhavipassaka	干观者
suttanta	经
suññata	空
sāriputta	沙利子
sāsanabrahmacariya	教梵行
sāvaka	弟子
sīta	冷
tebhūmaka	三地
tipiṭaka	三藏
ubhatobhāgavimutta	双重解脱
udāna	《感慨》
ugghaṭitaññū	敏锐知者
upacāra	近行
upakkilesa	随烦恼
upatissa	伍巴帝思
upatthambhaka	支持
upekkhā	舍
uppāda	生起
vedalla	智得
vedanā	受
verb	动词
vicāra	伺
vimokkha	解脱
vimutta	解放
vipassaka	修观
vipassana	观禅
vipassanā	观
vipassanāgamana	维巴沙那来由
vipassanāyānika	观乘者
vipañcitaññū	广演知者
virāga	离染
visuddhi	清净
vitakka	寻
vodāna	净化
vuṭṭhāna	出起
vāda	辩论
vāra	界限
yakkhī	母亚卡
ñāṇa	智
ākāsānañcāyatana	空无边处
āvuso	朋友
