Abhidhamma	阿毗达摩
Atthasālinī	胜义说
Bhikkhus	诸比库
Buddha	佛陀
Catukka	四法
Cittānupassanā	心随观
Dhammānupassanā	法随观
Mahā	大
Mahāṭī	大义疏
Mahāṭīka	《大疏钞》
Patisam	无碍解道
Pātimokkha	巴帝牟卡
Sam	相应部
Sotāpanna	须陀洹
Susima	苏西玛
Susima Sutta	《苏西玛经》
Sutta	经
Thera	长老
Visuddhi Magga	《清净之道》
abhinivesa	黏着
abhisamaya	现观
abhisaṅkhāra	积聚
abhiññāṇa	特征
adhigama	证悟
adhigama suta	修闻
adhimokkha	胜解
adhipati	主导
ahetuka	无因
ahirika	无惭
ajitamāṇavapucchāniddesa	阿吉德青年所问义释
akusala	不善
anantara	无间
anantarapaccaya	无间缘
anantarapaccayena	无间缘
anatta	无我
anattānupassanāñāṇa	无我频观智
anicca	无常
aniccānupassanā	随观无常
animitta	无相
anottappa	无愧
antima	最终
anuloma	随顺
anulomañāṇa	随顺智
anuppāda	无生
anupādisesa	无五蕴剩余
anusaya	潜伏
anusaya dhātu	随眠界
anusaya kilesa	随眠烦恼
anuttara	无上的
anāgāmi	不来者
anāgāmimagga	不来道
appanā	安止
arahant	阿拉汉
arahanta	阿拉汉
arahatta	阿拉汉
arahatta magga	阿拉汉道
ariya	圣
ariya magga	圣道
ariyaphala	圣果
arūpa	非色
asammoha	无痴
asammoha paṭivedha	无痴通达
asaṅkhata	无为
asaṅkhatadhātu	无为界
asekkha	无学
assaddhiya	无信
assāsapassāsa	入出息
asubha	不净
atta	我
avijjā	无明
avijjānusaya	无明随眠
aṭṭha samāpatti	八定
aṭṭhasamāpatti	八定
bahiddha	外在
bahiddhā	外
bala	力
base	词典源型
bhante	尊者
bhaṅga	天然混紡
bhikkhu	比库
bhāvanā	修习
bhāvarūpa	性根色
bhūmi	地
bodhipakkhiya	菩提分
brahma	梵天神
brahmacariya	梵行
byappanā	极安止
cakkhu	眼
cakkhusamphassa	眼触
catukka naya	四分法
catukkanaya	四法
cetana	思考
cetasika	心所
cetovimutti	心解脱
chanda	欲
citta	心
cittajarūpa	心生色
dassana	洞见
devaputta	男天人
dhamma	法
dhammavicaya	择法
dhammaṭṭhiti	法住
dhammaṭṭhitiñāṇa	法住智
dhammā	诸法
dhātu	界
diṭṭhi	见
diṭṭhigata	主见的偏颇
diṭṭhigatavippayutta	邪见不相应
diṭṭhānusaya	邪见随眠
dosa	瞋
dosamūla	嗔根
dukkha	苦
dukkha sacca	苦圣谛
dukkhadukkha	苦苦
dukkhakkhandha	苦蕴
dukkhānupassanā	苦随观
dukkhānupassanāñāṇa	苦频观智
dvāra	门
ekaggatā	一境性
ekatta	同一性
gati	趣
gatinimitta	趣相
ghānasamphassa	鼻触
gotrabhuñāṇa	种姓智
hetu	因
iddhipāda	成就的基础
indriya	根
issara	主宰者
javana	速行
jhāna	禅那
jāti	生
jīvita	命
kalāpa	色聚
kalāpasammasana	聚思惟
kamma	业
kammajarūpa	业生色
kammanimitta	业相
kammaviññāṇa	业识
khandha	蕴
kho	的确
kicca	作用
kiccaghana	作用密集
kiccasiddhi	作用成就
kilesa	烦恼
kiriya	唯作
kosajja	懈怠
koṭapabbata	果达山
koṭṭhika	郭提伽
kusala	善
kāla	咖拉
kāma	欲
kāmabhūmi	感官之欲方面
kāra	字
kāya	身
kāyasamphassa	身触
kāyaviññāṇa	身识
kāyika dukkha	身苦
kāyānupassanā	身随观
lobha	贪
lobhamūla	贪根
lokiya	世间的
lokuttara	出世间
magga	道
magga sacca	道谛
magga ñāṇa	道智
maggabhāvanā	道的修习
maggabrahmacariya	道梵行
maggaphala	道果
maggasacca	道谛
mahaggata	广大
mahākusala	大善
mahāṭīkā	大复注
majjhima	中
majjhima nikāya	中部
mana	意
manasikāra	作意
manda pañña puggala	钝慧者
mandapañña	钝慧
manoviññāṇa	意识
meditator	禅修者
micchā	错误
micchādiṭṭhi	邪见
micchākammanta	错误的业
micchāsamādhi	邪定
micchāsati	错误的铭记
micchāvācā	邪语
micchāvāyāma	误精进
moha	痴
mohamūla	痴根
musāvāda	虚妄语
muñcitukamyatā	欲解脱
muñcitukamyatāñāṇa	欲解脱智
māna	慢
mūla	根本
nanda	难德
nandi	喜
naya	法
nayavipassanā	理法观
neyya	可引导者
nibbatti	转生
nibbidā	倦离
nibbidānupassanāñāṇa	厌离频观智
nibbāna	涅槃
nicca	常
niddesa	广释
nidāna	来源
nikanti	微细的欲求
nikāya	部
nimitta	相
nippariyāya	究竟法
nirodha	灭
nirodhasacca	灭谛
nirodhasamāpatti	寂灭之境界
nāmakalāpa	名聚
nāmakammaṭṭhāna	名业处
nāmakāya	名身
nāmarūpa	名色
nānatta	不同性
ojaṭṭhamaka rūpa	食素为第八法的色
pabbata	山岳
paccakkha	亲见
paccaya	缘
paccaya pariggaha	缘摄受
paccayo	缘
paccayākāra	缘行相
paccekabodhi	独觉
paccekabuddha	独觉佛
pahāna	舍断
pahānapariññā	断遍知
palibodha	障碍
pamāda	放逸
pana	此外
paramattha	神我
pariccheda	节
parideva	悲
parikamma	遍作
parinibbāna	般涅槃
pariyantagata	已去往顶点者
pariyuṭṭhāna	缠（烦恼）
pariyāya	方便
pariññā	遍知
passaddhi	轻安 / 平静
pasāda	纯净
patthana	欲
pavatta	生命期间
pavatti	生命期间
payoga	精勤 / 加行
pañcakanaya	五法
pañcupādānakkhandha	五取蕴
pañña	慧
paññatti	概念
paññindriya	慧根
paññā	慧
paññābala	慧力
paṭigha	厌恶
paṭighānusaya	嗔恚随眠
paṭikūla	可厌
paṭisambhida	无碍解
paṭisambhidā	辨析
paṭisandhi	结生
paṭivedha	通达
paṭṭhāna	众缘
phala	果
phalasamāpatti	果定
phassa	触
puggala	个体
pārisuddhi	遍净
pīti	喜
ratana	动张
rāga	贪 / 爱染
rūpa	色
rūpakalāpa	色聚
rūpakkhandha	色蕴
rūpakāya	色身
rūparāga	色贪染
sacca	谛
saccañāṇa	谛智
saccaṭṭha	究竟之义
sacchikiriyā	现证
sacchikātabba	应证知的
sadda	声音
saddha	信
saddhindriya	信根
saddhā	信
sadisūpacāra	等同近行
sahajāta	俱生
sakadāgāmi	一来者
sakadāgāmimagga	一来道
sakka	帝释
sakkāya	有身（见）
sakkāya diṭṭhi	有身见
samanantara	等无间
samatha	止
samathayānika	以止为乘者
sammappadhāna	正勤
sammasana	思惟
sammā	正
sammādiṭṭhi	正见
sammākammanta	正业
sammāsambodhi	正自觉
sammāsamādhi	正定
sammāsati	正念
sammāvācā	正语
sammāvāyāma	正精进
sampayutta	相应
samuccheda	正断
samudaya	集
samudaya sacca	苦因圣谛
samudayavayadhammānupassī	随观生灭之法
samuppāda	集起
samyojana	结缚
samādhi	定
samādhibala	定力
samādhindriya	定根
samāpatti	等至
samūhaghana	组合密集
santa	寂静
santāpa	热恼
sappaccaya	有缘
sasaṅkhārika	有行
sassatadiṭṭhi	常见
sati	念
satibala	念力
satindriya	念根
satipaṭṭhāna	念处
saupādisesa	有余依
sañña	想
saṅkhata	有为
saṅkhata dhamma	有为法
saṅkhāra	行
saṅkhāra dhamma	行法
saṅkhāra dhammas	行法
saṅkhāra nimitta	行相
saṅkhāradhamma	行法
saṅkhāradukkha	行苦
saṅkhāranimitta	现象灭去
