-in	具有……者
Abhidhamma	阿毗达摩
Buddha	佛陀
Catukka	四法
Mahā	大
Pathavī	巴踏威
Sam	相应部
abhiññā	神通
anatta	无我
anicca	无常
anuloma	随顺
ariya	圣
ariyamagga	圣道
attha	目的状语
bhaya	畏惧
bhaya ñāṇa	怖畏智
bhaṅga	天然混紡
bhaṅga ñāṇa	坏灭智
cakkhu	眼
cetasika	心所
citta	心
dassana	洞见
dhamma	法
dhammasaṅganī	法集论
dukkha	苦
ghana	密集
kalāpa	色聚
kammaṭṭhāna	业处
kicca	作用
kilesa	烦恼
kusala	善
lakkhaṇā	相
lokuttara	出世间
magga	道
magga ñāṇa	道智
mahābhūta	大种
meditator	禅修者
naya	法
nibbinda	倦离
nibbāna	涅槃
nibbānagāminipaṭipadā	趣向涅槃之道
nikanti	微细的欲求
nāma	名
nāmarūpa	名色
paccaya	缘
paccaya pariggaha	缘摄受
paccaya pariggaha ñāṇa	缘摄受智
pariccheda	节
pariggaha	摄受
payoga	精勤 / 加行
paṭipadā	行道
paṭisaṅkhā	审查
phassa	触
puggala	个体
pāli	巴利语
rūpa	色
rūparūpa	完成色
sammasana	思惟
sammasana ñāṇa	思惟智
santati	相续
santatighana	相续密集
saṅkhāra	行
saṅkhārupekkhā	行舍
sukha	乐
udayabbaya	生灭
udayabbaya ñāṇa	生灭智
upakkilesa	随烦恼
vikkhambhana	抽离
vipassanā	观
visuddhi	清净
viññāṇa	识
ñāṇa	智
ñāṇadassana	智见
