Assaji	阿沙基
Buddha	佛陀
Catukka	四法
Cetanā sutta	思经
Dhammānupassanā	法随观
Gotama buddha	果达玛佛
Lakkhaṇa	特相
Mahāmoggallāna	大目犍连
Mahāṭī	大义疏
Nissaya	依词释
Pathavī	巴踏威
Sam	相应部
Sutta	经
Visuddhi Magga	《清净之道》
Visuddhi Magga Nissaya	清净之道逐词对译
abhinīhāra	至上愿
abhisaṅkhāra	积聚
adhicitta	增上心
adhigama	证悟
aggasāvaka	上首弟子
ajjhatta	内在
anatta	无我
anicca	无常
anubodha	随觉
anuloma	随顺
anusaya	潜伏
anāgata	未来
appanā	安止
arahanta	阿拉汉
arahat	阿拉汉
arahatta	阿拉汉
ariya	圣
asekkha	无学
atta	我
attabhāva	自体
atthi	有
avasesa	剩余的
avijjā	无明
aññamañña	相互
bahiddha	外在
base	词典源型
bhava	有
bhaṅga	天然混紡
brahma	梵天神
cakkhu	眼
cakkhupasāda	眼净色
cakkhuviññāṇassa	眼识的
cakkhāyatana	眼处
cetanā	思
citta	心
dhamma	法
dhammapaṭisambhidā	法辨析
dhammika	如法
dhammā	诸法
dhātu	界
diṭṭha	见
diṭṭhi	见
domanassa	忧
domanassa vedanā	忧受
dukkha	苦
dukkha sacca	苦圣谛
dukkha vedanā	苦受
dvāra	门
ekaggatā	一境性
etadagga	第一
gandha	气味
ghana	密集
gotama	果德玛
hetuppabhavā	从因缘所生的
hoti	发生
iti	如此
jarā	老
jīvita	命
kalāpa	色聚
kamma	业
kamma samuṭṭhāna	由业而生
kammajarūpa	业生色
kammaṭṭhāna	业处
khandha	蕴
khandhā	蕴
khippābhiñña	速通达
kicca	作用
kilesa	烦恼
kolita	果利德
koṭṭhāsa	身分
kusala	善
kāma	欲
kāma vatthu	欲物
kāra	字
kāya	身
kāye	于身
kāyāyatana	身处
lakkhaṇā	相
magga	道
mahābhūta	大种
mahāsāvaka	大弟子
manasīkāra	作意
manodvāra	意门
manāyatana	意处
meditator	禅修者
naya	法
nibbāna	涅槃
niddesa	广释
nirutti	词源学
nāma	名
nāmarūpa	名色
ojaṭṭhamaka	食素为第八的
paccaya	缘
paccayo	缘
paccupaṭṭhana	现起
paccupaṭṭhāna	现起
padaṭṭhāna	足处
pana	此外
paramaṭṭha	究竟
pariccheda	节
pariggaha	摄受
pariyatti	教理
pathavīdhātu	地界
patta	钵
paññatti	概念
paṭicca	缘
paṭipadā	行道
paṭisambhidā	辨析
paṭisaṅkhā	审查
phala	果
phassa	触
puggala	个体
puthujjana	凡夫
pāli	巴利语
pārami	巴拉密
rasa	作用
rūpa	色
rūparūpa	完成色
sabhāva	本质
sacca	谛
sadda	声音
saha	同时
sahajāta	俱生
sammā	正
sammādiṭṭhi	正见
sammādiṭṭhi ñāṇa	正见智
sampatti	成就
samudaya	集
samudaya sacca	苦因圣谛
samuppāda	集起
samuṭṭhāna	生起之因
santati	相续
santika	近
sasambhāra	含有成分
saññā	想
saṅgaha	包含
saṅkhāra	行
saṅkhāra dhamma	行法
saṅkhārupekkhā	行舍
sekkha	有学
somanassa	悦
somanassa vedanā	悦受
sotāpatti	入流
sotāyatana	耳处
sugati	善趣
sugati bhava	善趣生
sukha	乐
sukha vedanā	乐受
sukhuma	细
sāmañña	一般性
sāsanā	教法
sāvaka	弟子
taṇhā	渴爱
tejo	火
tejodhātu	火界
upacāra	近行
upatissa	伍巴帝思
upaṭṭhāna	建立
upaṭṭhānākāra	现起的行相
upekkha	舍
uppāda	生起
upāda	所造
upādāna	取
upādānakkhandhā	取蕴
upāli	伍巴离
utu	季节
vatta	行仪
vatthu	依处
vedanā	受
vipassanā	观
visuddhi	清净
viññatti	表
viññāṇa	识
vāyo	风
vāyodhātu	风元素
vīthi	心路
yoga	轭
ñāṇa	智
Ānanda	阿难德
ānāpāna	入出息
āpo	水
āpodhātu	水界
āvajjana	转向
āyatana	入处
ṭhiti	住
