-in	具有……者
-ka	具有……者
-vin	具有……者
Abhidhamma	阿毗达摩
Buddha	佛陀
Catukka	四法
Mahāṭī	大义疏
Nissaya	依词释
Sam	相应部
Sutta	经
Visaya	（所缘）境
Visuddhimagga	《清净道论》
adhimokkha	胜解
adhipati	主导
ahetuka	无因
ajjhatta	内在
ajjhattika	内在
akusala	不善
akusala citta	不善心
alobha	无贪
anantara	无间
anatta	无我
anavajja	无过的
anicca	无常
anidassana	无见
anuloma	随顺
anuruddha	阿努儒达
arahat	阿拉汉
arahatta	阿拉汉
arahatta magga	阿拉汉道
ariya	圣
asekkha	无学
asubha	不净
atta	我
atthi	有
bahiddha	外在
base	词典源型
bhava	有
cakkhu	眼
cetana	思考
cetasika	心所
chanda	欲
citta	心
citta niyama	心的定律
cittassa	心
cuti	入灭
cuti citta	死心
dassana	洞见
dassana kicca	照见作用
deva	神
dhamma	法
domanassa	忧
dosa	瞋
duggati	恶趣
dukkha	苦
dukkhasahagata	苦俱
ekanta	一向
ekatta	同一性
eti	来
gati	趣
gati nimitta	趣相
gatinimitta	趣相
ghana	密集
hadaya vatthu	心所依处色
hoti	发生
iddhi	神变
ind	不变词
iti	如此
javana	速行
kamma	业
kamma nimitta	业相
kammanimitta	业相
kattu	施动者
khandha	蕴
khandhaka	犍度
kho	的确
kicca	作用
kilesa	烦恼
kiriya	唯作
kosalla	善巧
kusa	古沙
kusala	善
lobha	贪
lokuttara	出世间
magga	道
mahaggata	广大
mahaggata dhamma	大法
majjhima	中
mana	意
manasa	意识
manussa	人类
meditator	禅修者
moha	痴
muta	觉知
nagaraguttika	京兆尹
naya	法
nicca	常
nimitta	相
niraya	地狱
nissatta	无有情
num	数词
paccaya	缘
paccaya satti	缘力
pana	此外
paramattha	神我
parikamma	遍作
pariyatti	教理
patthana	欲
pavatti	生命期间
peta	饿鬼
phala	果
phassa	触
phusana	碰触
piti	喜
pubbapayoga	事先的准备
puggala	个体
puthujjana	凡夫
rasa	作用
roga	病的
sabhava	自性
sadda	声音
saddha	信
saha	同时
sahetuka	有因的
samanantara	等无间
samatha	止
sambuddha	正觉者
sampayutta	相应
samuccheda	正断
sanidassana	有见
sati	念
satta	有情
sayana	床
sekkha	有学
sobhana	美心
somanassa	悦
somanassasahagata	悦俱
sugati	善趣
sukha	乐
sukhasahagata	乐俱
suta	闻
tatra	彼处
tihetuka	三因者
tika	三分（法）
uccheda	断灭
uddhacca	掉举
upa	前缀upa
upaladdhi	观念
upekkha	舍
vatta	行仪
vatthu	依处
vedaka	受者
vicikiccha	疑
vipassana	观禅
vippayutta	不相应
viriya	精进
visesa	特征
visuddhi	清净
yojana	由旬
yoni	生
yoniso-manasikara	wisely pay attention in mind
