-in	具有……者
Anguttara	增支部
Buddha	佛陀
Catukka	四法
Dhammānupassanā	法随观
Lakkhaṇa	特相
Mahāṭī	大义疏
akusala	不善
amoha	无痴
appana	安止
arahanta	阿拉汉
arahat	阿拉汉
arahattaphala	阿拉汉果
ariya	圣
ariya magga	圣道
bala	力
bhava	有
brahma	梵天神
catusacca	四个真理
cetana	思考
cetiya	佛塔
citta	心
cuti	入灭
cuti citta	死心
deva	神
dhamma	法
dullabha	难得
dutiya	第二个
gati	趣
gati nimitta	趣相
issa	嫉妒
kalala	羯罗蓝
kamma	业
kamma nimitta	业相
kappa	劫
khandha	蕴
kicca	作用
kusala	善
magga	道
meditator	禅修者
nibbāna	涅槃
nimitta	相
niraya	地狱
pabbata	山岳
paccakkha	亲见
paccaya	缘
paccayapariggaha	缘摄受
paccupaṭṭhāna	现起
padaṭṭhāna	足处
paramaṭṭha	究竟
pavatti	生命期间
payoga	精勤 / 加行
puggala	个体
puthujjana	凡夫
pāli	巴利语
rasa	作用
sakka	帝释
sampatti	成就
sekkha	有学
sikkha	学
sugati	善趣
tika	三分（法）
tissa	帝思
upadhi	再生的基质
vipatti	失坏
visuddhi	清净
yojana	由旬
