Abhidhamma	阿毗达摩
Buddha	佛陀
Catukka	四法
Dhammānupassanā	法随观
Jambuka	瞻部格
Lakkhaṇa	特相
Sam	相应部
Sutta	经
Thera	长老
akusala	不善
arahatta	阿拉汉
ariya	圣
ariya magga	圣道
atthi	有
bala	力
bhava	有
bhikkhave	诸比库
brahma	梵天神
cakkhu	眼
cetana	思考
cetasika	心所
citta	心
cuti	入灭
dhamma	法
dhammapada	《法句》
dhura	责任
dosa	瞋
dukkha	苦
dukkha sacca	苦圣谛
dullabha	难得
dutiya	第二个
gahapati	家主
gati	趣
gotama	果德玛
hoti	发生
indriya	根
issa	嫉妒
janaka	生
javana	速行
kamma	业
khandha	蕴
khattiya	刹帝利
kho	的确
kicca	作用
kilesa	烦恼
kodha	忿怒
kusala	善
lobha	贪
loka	世间
lokiya	世间的
macchariya	悭吝
magga	道
mahaggata	广大
mana	意
manussa	人类
metta	友谊
moha	痴
nibbāna	涅槃
niraya	地狱
paccaya	缘
paccaya pariggaha	缘摄受
paccupaṭṭhāna	现起
padaṭṭhāna	足处
pana	此外
paramaṭṭha	究竟
pariggaha	摄受
pavatti	生命期间
payoga	精勤 / 加行
phala	果
phassa	触
puggala	个体
pāli	巴利语
rasa	作用
sabhava	自性
sacca	谛
saddha	信
samatha	止
sambuddha	正觉者
sampatti	成就
samudaya	集
samudaya sacca	苦因圣谛
santati	相续
sati	念
satta	有情
sikkha	学
sucarita	善行
sukha	乐
suppabuddha	善觉
tagarasikhi	答格拉西奇
todeyya	多迭亚
upadhisampatti	依报成就
upakkilesa	随烦恼
upanissaya	强依止
upatthambhaka	支持
vacana	字
vatta	行仪
vatthu	依处
vipassana	观禅
vipatti	失坏
viriya	精进
