[167]ဥဒယဗ္ဗယဉာဏ်ခန်း	[167]生灭智章
[167]ဥဒယဗ္ဗယဉာဏ်ခန်း/[197]a သမုဒယဓမ္မာနုပဿီပိုင်း - ဥဒယဒဿန = အဖြစ်သက်သက် ရှုနည်း	[167]生灭智章/[197]a 集法随观篇 - 生起见 = 唯观生起的观法
[167]ဥဒယဗ္ဗယဉာဏ်ခန်း/[210]၀ယဓမ္မာနုပဿီပိုင်း	[167]生灭智章/[210]灭法随观篇
[167]ဥဒယဗ္ဗယဉာဏ်ခန်း/[221]သမုဒယ၀ယဓမ္မာနုပဿီပိုင်း	[167]生灭智章/[221]集灭法随观篇
[1]b မဂ္ဂါမဂ္ဂဉာဏဒဿနဝိသုဒ္ဓိ နိဒ္ဒေသ - သမ္မသနဉာဏ်ခန်း	[1]b 道非道智见清净释 - 思惟智章
[1]b မဂ္ဂါမဂ္ဂဉာဏဒဿနဝိသုဒ္ဓိ နိဒ္ဒေသ - သမ္မသနဉာဏ်ခန်း/[131] ရူပသတ္တက ရှုနည်း	[1]b 道非道智见清净释 - 思惟智章/[131]色七法观法
[1]b မဂ္ဂါမဂ္ဂဉာဏဒဿနဝိသုဒ္ဓိ နိဒ္ဒေသ - သမ္မသနဉာဏ်ခန်း/[144]a အရူပသတ္တက ဝိပဿနာ ရှုနည်း	[1]b 道非道智见清净释 - 思惟智章/[144]a 七非色观法
[1]b မဂ္ဂါမဂ္ဂဉာဏဒဿနဝိသုဒ္ဓိ နိဒ္ဒေသ - သမ္မသနဉာဏ်ခန်း/[76]အနိစ္စလက္ခဏာ (၁၀) ချက်	[1]b 道非道智见清净释 - 思惟智章/[76]无常相（十）项
[1]b မဂ္ဂါမဂ္ဂဉာဏဒဿနဝိသုဒ္ဓိ နိဒ္ဒေသ - သမ္မသနဉာဏ်ခန်း/[81] ဒုက္ခလက္ခဏာ (၂၅) ချက်	[1]b 道非道智见清净释 - 思惟智章/[81]苦相（二十五）项
[1]b မဂ္ဂါမဂ္ဂဉာဏဒဿနဝိသုဒ္ဓိ နိဒ္ဒေသ - သမ္မသနဉာဏ်ခန်း/[96] အနတ္တလက္ခဏာ (၅) ချက်	[1]b 道非道智见清净释 - 思惟智章/[96]无我相（五）项
[267]ပဋိပဒါဉာဏဒဿနဝိသုဒ္ဓိ နိဒ္ဒေသ	[267]行道智见清净释
[278]ဘင်္ဂါနုပဿနာဉာဏ်ခန်း	[278]坏灭随观智章
[330]ဘယတုပဋ္ဌာနဉာဏ်ခန်း	[330]怖畏现起智章
[334]အာဒီနဝါနုပဿနာဉာဏ်ခန်း	[334]过患随观智章
[340]နိဗ္ဗိဒါနုပဿနာဉာဏ်ခန်း	[340]厌离随观智章
[342]မုဉ္စိတုကမျတာဉာဏ်ခန်း .md	[342]欲解脱智章 .md
[343]ပဋိသင်္ခါနုပဿနာဉာဏ်ခန်း	[343]省察随观智章
[349]သင်္ခါရုပေက္ခာဉာဏ်ခန်း	[349]行舍智章
[433] အနုလောမဉာဏ်ခန်း	[433]随顺智章
[463]ဉာဏဒဿနဝိသုဒ္ဓိနိဒ္ဒေသ	[463]智见清净释
